FastqFile	mNeonGreen	mScarlet	prop_mNeonGreen	prop_mScarlet
01_01.fastq.gz	273	6	0.978494623655914	0.021505376344086023
02_02.fastq.gz	6	247	0.023715415019762844	0.9762845849802372
03_03.fastq.gz	223	55	0.802158273381295	0.19784172661870503
04_04.fastq.gz	53	273	0.16257668711656442	0.8374233128834356
05_05.fastq.gz	293	12	0.9606557377049181	0.03934426229508197
06_06.fastq.gz	18	320	0.05325443786982249	0.9467455621301775
07_07.fastq.gz	273	1	0.9963503649635036	0.0036496350364963502
08_08.fastq.gz	2	381	0.005221932114882507	0.9947780678851175
09_09.fastq.gz	344	10	0.9717514124293786	0.02824858757062147
10_10.fastq.gz	13	353	0.03551912568306011	0.9644808743169399
11_11.fastq.gz	286	69	0.8056338028169014	0.19436619718309858
12_12.fastq.gz	54	324	0.14285714285714285	0.8571428571428571
13_13.fastq.gz	333	8	0.9765395894428153	0.02346041055718475
14_14.fastq.gz	9	392	0.022443890274314215	0.9775561097256857
15_15.fastq.gz	258	5	0.9809885931558935	0.019011406844106463
16_16.fastq.gz	4	239	0.01646090534979424	0.9835390946502057
