Sample,Sorted,NG_BC,SC_BC
T_PRECISE,NG+,0.978494624,0.021505376
T_PRECISE,SC+,0.023715415,0.976284585
T_STD,NG+,0.802158273,0.197841727
T_STD,SC+,0.162576687,0.837423313
T_INF_CTRL,NG+,0.960655738,0.039344262
T_INF_CTRL,SC+,0.053254438,0.946745562
T_SORT_CTRL,NG+,0.996350365,0.003649635
T_SORT_CTRL,SC+,0.005221932,0.994778068
K_PRECISE,NG+,0.971751412,0.028248588
K_PRECISE,SC+,0.035519126,0.964480874
K_STD,NG+,0.805633803,0.194366197
K_STD,SC+,0.142857143,0.857142857
K_INF_CTRL,NG+,0.976539589,0.023460411
K_INF_CTRL,SC+,0.02244389,0.97755611
K_SORT_CTRL,NG+,0.980988593,0.019011407
K_SORT_CTRL,SC+,0.016460905,0.983539095
