fastq,total_reads,matched_reads,unassigned_reads,total_hits,mNeonGreen,mScarlet,prop_mNeonGreen,prop_mScarlet
01_01.fastq.gz,10419,9087,1332,9087,8794,293,0.9677561351381094,0.03224386486189061
02_02.fastq.gz,8897,7426,1471,7426,300,7126,0.04039859951521681,0.9596014004847832
03_03.fastq.gz,9889,8746,1143,8746,6760,1986,0.7729247656071347,0.2270752343928653
04_04.fastq.gz,2420,2124,296,2124,405,1719,0.1906779661016949,0.809322033898305
05_05.fastq.gz,2220,1973,247,1973,1863,110,0.9442473390775469,0.055752660922453116
06_06.fastq.gz,1980,1726,254,1726,151,1575,0.08748551564310544,0.9125144843568945
07_07.fastq.gz,1800,1595,205,1595,1581,14,0.9912225705329154,0.00877742946708464
08_08.fastq.gz,2140,1840,300,1840,12,1828,0.006521739130434782,0.9934782608695653
09_09.fastq.gz,600,539,61,539,518,21,0.961038961038961,0.03896103896103896
10_10.fastq.gz,460,390,70,390,9,381,0.023076923076923078,0.9769230769230769
11_11.fastq.gz,560,500,60,500,397,103,0.794,0.206
12_12.fastq.gz,640,552,88,552,107,445,0.19384057971014493,0.8061594202898551
13_13.fastq.gz,4347,3739,608,3739,3638,101,0.9729874297940626,0.027012570205937416
14_14.fastq.gz,1587,1297,290,1297,38,1259,0.029298380878951428,0.9707016191210486
15_15.fastq.gz,4197,3647,550,3647,3597,50,0.9862901014532492,0.013709898546750754
16_16.fastq.gz,500,412,88,412,7,405,0.01699029126213592,0.9830097087378641
