metric	value	Index	sample_label
ambiguous	1281935	1	NTC_0396_1
counted	8469278	1	NTC_0396_1
no_feature	1104800	1	NTC_0396_1
records	14189339	1	NTC_0396_1
skipped_flag_or_unmapped	2166377	1	NTC_0396_1
skipped_multimapper	1166949	1	NTC_0396_1
ambiguous	1539658	2	NTC_0437_1
counted	10267705	2	NTC_0437_1
no_feature	1074428	2	NTC_0437_1
records	16704276	2	NTC_0437_1
skipped_flag_or_unmapped	2496124	2	NTC_0437_1
skipped_multimapper	1326361	2	NTC_0437_1
ambiguous	1448518	3	ABCD4_1
counted	9512783	3	ABCD4_1
no_feature	881966	3	ABCD4_1
records	15403350	3	ABCD4_1
skipped_flag_or_unmapped	2305440	3	ABCD4_1
skipped_multimapper	1254643	3	ABCD4_1
ambiguous	490765	4	ABCD4_2
counted	3602051	4	ABCD4_2
no_feature	502789	4	ABCD4_2
records	5966651	4	ABCD4_2
skipped_flag_or_unmapped	891804	4	ABCD4_2
skipped_multimapper	479242	4	ABCD4_2
ambiguous	1346386	5	ARRB1_1
counted	8365336	5	ARRB1_1
no_feature	896295	5	ARRB1_1
records	14014211	5	ARRB1_1
skipped_flag_or_unmapped	2214297	5	ARRB1_1
skipped_multimapper	1191897	5	ARRB1_1
ambiguous	304134	6	ARRB1_2
counted	2204310	6	ARRB1_2
no_feature	302901	6	ARRB1_2
records	3649848	6	ARRB1_2
skipped_flag_or_unmapped	548288	6	ARRB1_2
skipped_multimapper	290215	6	ARRB1_2
ambiguous	1481138	7	C9orf170_1
counted	9599863	7	C9orf170_1
no_feature	1141328	7	C9orf170_1
records	15852367	7	C9orf170_1
skipped_flag_or_unmapped	2367442	7	C9orf170_1
skipped_multimapper	1262596	7	C9orf170_1
ambiguous	1585660	8	C9orf170_2
counted	10319530	8	C9orf170_2
no_feature	1461133	8	C9orf170_2
records	17173808	8	C9orf170_2
skipped_flag_or_unmapped	2477828	8	C9orf170_2
skipped_multimapper	1329657	8	C9orf170_2
ambiguous	1018443	9	USP30_1
counted	7141908	9	USP30_1
no_feature	1276901	9	USP30_1
records	12256394	9	USP30_1
skipped_flag_or_unmapped	1852121	9	USP30_1
skipped_multimapper	967021	9	USP30_1
ambiguous	1418376	10	USP30_2
counted	9504454	10	USP30_2
no_feature	987738	10	USP30_2
records	15450603	10	USP30_2
skipped_flag_or_unmapped	2305061	10	USP30_2
skipped_multimapper	1234974	10	USP30_2
ambiguous	1487802	11	TAP2_1
counted	9950155	11	TAP2_1
no_feature	1126322	11	TAP2_1
records	16283170	11	TAP2_1
skipped_flag_or_unmapped	2432962	11	TAP2_1
skipped_multimapper	1285929	11	TAP2_1
ambiguous	1301278	12	TAPBP_1
counted	8907412	12	TAPBP_1
no_feature	987531	12	TAPBP_1
records	14525424	12	TAPBP_1
skipped_flag_or_unmapped	2169328	12	TAPBP_1
skipped_multimapper	1159875	12	TAPBP_1
