gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000156508	EEF1A1	protein_coding	6	-	3401	42931	944.1842994449551	4512.980060619484	2.2563360478907106	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000213719	CLIC1	protein_coding	6	-	1228	12903	340.91688318682884	1356.385402673434	1.9906925743955017	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000196230	TUBB	protein_coding	6	+	3368	33360	935.0228522583384	3506.860190125224	1.9065407964008239	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000137309	HMGA1	protein_coding	6	+	898	7743	249.30241132066146	813.957387654065	1.7050518158140193	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000167658	EEF2	protein_coding	19	-	1767	14892	490.55385390156886	1565.4724805559003	1.6731057010410106	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000147403	RPL10	protein_coding	X	+	1183	8934	328.4240006596242	939.1573422835357	1.5143804746165292	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000074800	ENO1	protein_coding	1	-	2473	17155	686.5532997728238	1803.3629065227283	1.3925957690668453	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000233927	RPS28	protein_coding	19	+	2304	15778	639.6355853928776	1658.6103141425594	1.373960398248254	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000188846	RPL14	protein_coding	3	+	2352	15446	652.9613267552292	1623.7099069746466	1.31356433135759	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000198938	MT-CO3	protein_coding	MT	+	37543	229209	10422.673082640973	24094.841646235385	1.2089597190489851	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000100316	RPL3	protein_coding	22	-	5617	32972	1559.3893590068546	3466.0729672904345	1.1520664237138436	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000164587	RPS14	protein_coding	5	-	2815	16292	781.4992069795792	1712.6428722278222	1.131406424313579	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000140988	RPS2	protein_coding	16	-	5352	30219	1485.820161902205	3176.672904238434	1.0959986906300907	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000087086	FTL	protein_coding	19	+	3123	17268	867.006047388002	1815.2416595648192	1.0656132333206276	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000075624	ACTB	protein_coding	7	-	8384	44645	2327.562824624082	4693.158668709251	1.0115829392576126	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000096384	HSP90AB1	protein_coding	6	+	6662	35176	1849.501853249718	3697.7612124653742	0.9993204115895445	0.0	0.0	300.0	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000137818	RPLP1	protein_coding	15	+	7478	37765	2076.0394564096955	3969.9213153500928	0.9351108201992239	0.0	0.0	300.0	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000198712	MT-CO2	protein_coding	MT	+	23638	119347	6562.37238173474	12545.960524906328	0.9348811390925701	0.0	0.0	300.0	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000089157	RPLP0	protein_coding	12	-	11362	48838	3154.3140283133134	5133.9339917666575	0.7026502829693417	0.0	0.0	300.0	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000142937	RPS8	protein_coding	1	+	10115	41684	2808.122372503887	4381.893290323136	0.6418562993811527	0.0	0.0	300.0	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000143947	RPS27A	protein_coding	2	+	12139	18355	3370.024466616381	1929.508956527233	-0.8043655552164873	0.0	0.0	300.0	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000115310	RTN4	protein_coding	2	-	10708	13752	2972.750802251273	1445.6337330516212	-1.0398401903395325	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000171858	RPS21	protein_coding	20	+	9847	11844	2733.720316564091	1245.061513544459	-1.134333223791073	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000163682	RPL9	protein_coding	4	-	8951	10603	2484.9731444668605	1114.605473498134	-1.1563403395240226	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000135046	ANXA1	protein_coding	9	+	5312	6047	1474.7153774335789	635.6709703143654	-1.2134391538181728	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000071082	RPL31	protein_coding	2	+	16144	18354	4481.891011537594	1929.4038348188958	-1.2157395434408538	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000213741	RPS29	protein_coding	14	-	7066	7899	1961.6601763828442	830.3563741546506	-1.2397718049897772	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000122862	SRGN	protein_coding	10	+	4946	4286	1373.1065995456477	450.5516419327551	-1.6066043504527001	0.0	0.0	300.0	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
