sample,file,category_order,category,count,proportion,umis_after_collapse
sample_1,3F55HP_1_sample_1,1,BC==gRNA1==gRNA2,39039,0.5017608349185132,77804
sample_1,3F55HP_1_sample_1,2,Exactly one gRNA matches BC,24725,0.3177857179579456,77804
sample_1,3F55HP_1_sample_1,3,gRNA1==gRNA2!=BC,12996,0.16703511387589326,77804
sample_1,3F55HP_1_sample_1,4,Other,1044,0.013418333247648073,77804
sample_2,3F55HP_2_sample_2,1,BC==gRNA1==gRNA2,38328,0.5030383368550917,76193
sample_2,3F55HP_2_sample_2,2,Exactly one gRNA matches BC,24072,0.3159345346685391,76193
sample_2,3F55HP_2_sample_2,3,gRNA1==gRNA2!=BC,12752,0.16736445605239325,76193
sample_2,3F55HP_2_sample_2,4,Other,1041,0.013662672423975897,76193
sample_3,3F55HP_3_sample_3,1,BC==gRNA1==gRNA2,41720,0.9956327709233229,41903
sample_3,3F55HP_3_sample_3,2,Exactly one gRNA matches BC,127,0.0030308092499343724,41903
sample_3,3F55HP_3_sample_3,3,gRNA1==gRNA2!=BC,54,0.0012886905472161898,41903
sample_3,3F55HP_3_sample_3,4,Other,2,4.7729279526564916e-05,41903
sample_4,3F55HP_4_sample_4,1,BC==gRNA1==gRNA2,51066,0.9960599204181946,51268
sample_4,3F55HP_4_sample_4,2,Exactly one gRNA matches BC,134,0.0026137161582273543,51268
sample_4,3F55HP_4_sample_4,3,gRNA1==gRNA2!=BC,65,0.0012678473901849108,51268
sample_4,3F55HP_4_sample_4,4,Other,3,5.851603339313005e-05,51268
