Peptide,OT,IFN,OT_norm,Color,OT_control_offset,ylim_min,ylim_max
N4,1.8369,23104.66667,2.33806,#84c7ff,-0.5011599999999999,-1,3
A2,1.1207,22570.33333,1.6218599999999999,#84c7ff,-0.5011599999999999,-1,3
Y3,0.6369,19032.0,1.1380599999999998,#84c7ff,-0.5011599999999999,-1,3
Q4,0.50503,19288.66667,1.00619,#84c7ff,-0.5011599999999999,-1,3
T4,0.31809,12780.66667,0.8192499999999999,#84c7ff,-0.5011599999999999,-1,3
V4,0.024571,6661.666667,0.525731,#84c7ff,-0.5011599999999999,-1,3
G4,-0.080142,2331.0,0.42101799999999995,#84c7ff,-0.5011599999999999,-1,3
D4,-0.40601,327.6666667,0.09514999999999996,#84c7ff,-0.5011599999999999,-1,3
Q4R7,0.46608,18392.66667,0.9672399999999999,#84c7ff,-0.5011599999999999,-1,3
Q4H7,-0.029003,7974.666667,0.47215699999999994,#84c7ff,-0.5011599999999999,-1,3
Q7,0.1729,9237.666667,0.6740599999999999,#84c7ff,-0.5011599999999999,-1,3
E1,-0.4362,279.0,0.06495999999999996,#84c7ff,-0.5011599999999999,-1,3
CATNB,-0.48036,285.3333333,0.02079999999999993,#7a716b,-0.5011599999999999,-1,3
LCMV,-0.42832,260.0,0.07283999999999996,#7a716b,-0.5011599999999999,-1,3
TB,-0.51889,292.3333333,-0.017730000000000024,#7a716b,-0.5011599999999999,-1,3
MCMV,-0.57707,287.0,-0.07591000000000003,#7a716b,-0.5011599999999999,-1,3
