Peptide,OT-1,OT-2,OT,WT-1,WT-2,WT
N4,1.8207,1.8602,1.8369,0.073651,0.020671,-0.007285
A2,1.1252,1.0338,1.1207,0.13321,-0.035796,0.021432
Y3,0.58247,0.54621,0.6369,-0.0081089,0.044897,0.045316
Q4,0.44208,0.4794,0.50503,0.068542,-0.074297,-0.046335
T4,0.39892,0.21744,0.31809,-0.043357,0.011194,-0.017639
V4,-0.1233,0.0069368,0.024571,-0.052144,-0.014029,-0.045831
G4,-0.12738,-0.14874,-0.080142,-0.068377,0.0050504,-0.02977
D4,-0.48777,-0.40418,-0.40601,0.017143,-0.036107,0.032398
Q4R7,0.45245,0.46438,0.46608,0.0074984,0.081573,0.01652
Q4H7,-0.066168,-0.044783,-0.029003,-0.011113,-0.030024,-0.066976
Q7,0.3,0.03783,0.1729,-0.10645,-0.028159,0.00073208
E1,-0.35595,-0.5496,-0.4362,0.1182,0.12846,0.13374
CATNB,-0.44972,-0.50338,-0.48036,8.5571e-05,0.074518,0.051507
LCMV,-0.42595,-0.36901,-0.42832,-0.070735,-0.050498,-0.059777
TB,-0.5188,-0.53266,-0.51889,-0.16791,0.011727,-0.022055
MCMV,-0.50846,-0.60599,-0.57707,-0.011682,0.011133,0.027274
