t_cell_type,PeptideBC_Name,AssignedTreatment,peptide_order,treatment_order,qualifying_cells,dc_supported_unique_dcbc,dc_supported_total_dcbc_umi,qualifying_cells_per_dc_supported_unique_dcbc,geomean_supported_condition_umi,geomean_condition_umi_per_10k_dc_dcbc_umi,cell_condition_min_umi
OTI,N4,no_treatment,0,0,510,536,201782,0.9514925373134329,14.331348527558232,0.7102391951491328,2
OTI,N4,LPS,0,1,280,377,31504,0.7427055702917772,15.141680891342522,4.806272502330664,2
OTI,N4,PolyIC,0,2,595,552,160621,1.0778985507246377,15.209008946684582,0.9468879503106432,2
OTI,N4,IFNg,0,3,542,543,120369,0.998158379373849,19.104437518434906,1.5871559553070065,2
OTI,A2,no_treatment,1,0,473,484,264348,0.9772727272727273,16.42824421178811,0.6214627767862102,2
OTI,A2,LPS,1,1,188,262,26704,0.7175572519083969,16.74024946511429,6.2688172053303965,2
OTI,A2,PolyIC,1,2,562,552,300031,1.0181159420289856,15.647340279381046,0.5215241184871245,2
OTI,A2,IFNg,1,3,420,427,211587,0.9836065573770492,22.731591830919307,1.0743378293996941,2
OTI,Y3,no_treatment,2,0,483,529,416656,0.9130434782608695,18.234984024189192,0.43765082044154396,2
OTI,Y3,LPS,2,1,160,257,40203,0.622568093385214,20.484496417311632,5.095265631249318,2
OTI,Y3,PolyIC,2,2,691,613,438773,1.1272430668841762,17.65470396127353,0.4023653224166831,2
OTI,Y3,IFNg,2,3,440,498,287260,0.8835341365461847,24.90726472336608,0.8670634520422642,2
OTI,Q4,no_treatment,3,0,494,673,516729,0.7340267459138187,14.037970222804411,0.27166987381788926,2
OTI,Q4,LPS,3,1,395,645,181153,0.6124031007751938,16.533530807217478,0.9126832460526448,2
OTI,Q4,PolyIC,3,2,837,877,618991,0.9543899657924744,15.372415963194205,0.24834635662221594,2
OTI,Q4,IFNg,3,3,529,775,465036,0.6825806451612904,17.684990294874574,0.38029292989950403,2
OTI,T4,no_treatment,4,0,659,780,696403,0.8448717948717949,15.77585112432458,0.2265333596254551,2
OTI,T4,LPS,4,1,242,464,163524,0.521551724137931,15.214314351738642,0.9304025312332527,2
OTI,T4,PolyIC,4,2,701,790,734073,0.8873417721518987,15.900528842756549,0.2166069156985279,2
OTI,T4,IFNg,4,3,525,765,556701,0.6862745098039216,22.597604459047805,0.40591995450067103,2
OTI,V4,no_treatment,5,0,423,688,672663,0.6148255813953488,12.640182292485473,0.187912554912125,2
OTI,V4,LPS,5,1,274,527,202387,0.5199240986717267,13.899754573756775,0.6867908795405225,2
OTI,V4,PolyIC,5,2,631,782,777744,0.8069053708439897,12.475450409485514,0.16040561430863515,2
OTI,V4,IFNg,5,3,451,729,446801,0.6186556927297668,19.64130665001201,0.4395985382756979,2
OTI,G4,no_treatment,6,0,250,518,435436,0.4826254826254826,11.112096999492023,0.2551947243565535,2
OTI,G4,LPS,6,1,162,385,141055,0.42077922077922075,12.601131999568526,0.8933488355300079,2
OTI,G4,PolyIC,6,2,320,547,507210,0.5850091407678245,11.312287052333145,0.22302965344400044,2
OTI,G4,IFNg,6,3,220,478,337360,0.4602510460251046,13.286941972371324,0.3938505445924627,2
OTI,D4,no_treatment,7,0,348,725,666625,0.48,11.963142209236771,0.1794583492853819,2
OTI,D4,LPS,7,1,219,521,199131,0.42034548944337813,12.30904907396261,0.6181382644571971,2
OTI,D4,PolyIC,7,2,475,807,669602,0.5885997521685254,10.946165487286159,0.16347271195853894,2
OTI,D4,IFNg,7,3,378,787,607747,0.48030495552731894,13.069207009122815,0.2150435462309615,2
OTI,Q4R7,no_treatment,8,0,288,393,322576,0.732824427480916,16.030946365141467,0.4969664936368939,2
OTI,Q4R7,LPS,8,1,180,251,77480,0.7171314741035857,18.088959891759117,2.3346618342487244,2
OTI,Q4R7,PolyIC,8,2,375,406,333329,0.9236453201970444,16.820447119454684,0.5046199736432979,2
OTI,Q4R7,IFNg,8,3,240,344,219947,0.6976744186046512,22.48093010722712,1.0221066942139299,2
OTI,Q4H7,no_treatment,9,0,542,848,781077,0.6391509433962265,12.660830650095265,0.1620945265331749,2
OTI,Q4H7,LPS,9,1,352,552,232310,0.6376811594202898,15.485279059797966,0.6665782385518474,2
OTI,Q4H7,PolyIC,9,2,769,898,916087,0.856347438752784,15.077570300096216,0.1645866637131213,2
OTI,Q4H7,IFNg,9,3,526,872,653489,0.6032110091743119,17.239856978818562,0.2638125045535359,2
OTI,Q7,no_treatment,10,0,401,519,471695,0.7726396917148363,16.478426584288115,0.3493449492635732,2
OTI,Q7,LPS,10,1,180,330,138411,0.5454545454545454,18.014313922112635,1.3015088339880958,2
OTI,Q7,PolyIC,10,2,470,618,523211,0.7605177993527508,13.58549683512203,0.2596561776247447,2
OTI,Q7,IFNg,10,3,376,545,346504,0.689908256880734,18.55501251986106,0.535492015095383,2
OTI,E1,no_treatment,11,0,319,670,613772,0.4761194029850746,8.728376546291985,0.14220877697731382,2
OTI,E1,LPS,11,1,141,383,177488,0.3681462140992167,10.15585023711159,0.5721992606323577,2
OTI,E1,PolyIC,11,2,384,769,707182,0.49934980494148246,8.919665269694356,0.12612969885679157,2
OTI,E1,IFNg,11,3,375,773,553309,0.4851228978007762,13.030623478805655,0.2355035518816006,2
OTI,CATNB,no_treatment,12,0,314,654,633233,0.4801223241590214,9.313087326987272,0.14707204657665143,2
OTI,CATNB,LPS,12,1,119,360,117236,0.33055555555555555,9.477668163623918,0.8084264358749802,2
