t_cell_type,PeptideBC_Name,AssignedTreatment,peptide_order,treatment_order,qualifying_cells,global_unique_dcbc,cells_per_global_unique_dcbc,geomean_condition_umi
OTI,N4,no_treatment,0,0,813,536,1.5167910447761195,14.121277064660626
OTI,N4,LPS,0,1,592,377,1.570291777188329,16.029154589453285
OTI,N4,PolyIC,0,2,940,552,1.7028985507246377,15.219680298725757
OTI,N4,IFNg,0,3,909,543,1.6740331491712708,21.562338046643344
OTI,A2,no_treatment,1,0,741,484,1.53099173553719,16.2267421796922
OTI,A2,LPS,1,1,405,262,1.5458015267175573,15.697433196097705
OTI,A2,PolyIC,1,2,836,552,1.5144927536231885,16.168462456944386
OTI,A2,IFNg,1,3,740,427,1.7330210772833723,24.380287743590234
OTI,Y3,no_treatment,2,0,691,529,1.3062381852551985,17.838669395162807
OTI,Y3,LPS,2,1,360,257,1.4007782101167314,20.089810506148545
OTI,Y3,PolyIC,2,2,958,613,1.5628058727569332,18.022597192787888
OTI,Y3,IFNg,2,3,692,498,1.3895582329317269,24.924491634089236
OTI,Q4,no_treatment,3,0,802,673,1.1916790490341753,13.770777112424573
OTI,Q4,LPS,3,1,779,645,1.207751937984496,16.473738062146367
OTI,Q4,PolyIC,3,2,1133,877,1.2919042189281642,15.444331838409369
OTI,Q4,IFNg,3,3,858,775,1.1070967741935485,20.019758429237914
OTI,T4,no_treatment,4,0,942,780,1.2076923076923076,15.625819507651087
OTI,T4,LPS,4,1,508,464,1.0948275862068966,15.072345154796276
OTI,T4,PolyIC,4,2,951,790,1.2037974683544304,15.800720897269805
OTI,T4,IFNg,4,3,855,765,1.1176470588235294,22.327995402596777
OTI,V4,no_treatment,5,0,628,688,0.9127906976744186,12.33787127999083
OTI,V4,LPS,5,1,584,527,1.1081593927893738,13.482834504871057
OTI,V4,PolyIC,5,2,875,782,1.118925831202046,12.726306383204495
OTI,V4,IFNg,5,3,687,729,0.9423868312757202,19.03550971042671
OTI,G4,no_treatment,6,0,382,518,0.7374517374517374,10.709837583653353
OTI,G4,LPS,6,1,354,385,0.9194805194805195,11.885430690201487
OTI,G4,PolyIC,6,2,441,547,0.8062157221206582,11.599140584883694
OTI,G4,IFNg,6,3,350,478,0.7322175732217573,13.934208391041349
OTI,D4,no_treatment,7,0,539,725,0.743448275862069,11.87962880892128
OTI,D4,LPS,7,1,474,521,0.9097888675623801,12.748246958043762
OTI,D4,PolyIC,7,2,685,807,0.8488228004956629,10.947176557269184
OTI,D4,IFNg,7,3,647,787,0.8221092757306226,14.56687462117597
OTI,Q4R7,no_treatment,8,0,431,393,1.0966921119592876,15.213862409916652
OTI,Q4R7,LPS,8,1,348,251,1.3864541832669324,16.82711970800965
OTI,Q4R7,PolyIC,8,2,537,406,1.3226600985221675,17.82810069899769
OTI,Q4R7,IFNg,8,3,409,344,1.188953488372093,22.982653862631206
OTI,Q4H7,no_treatment,9,0,819,848,0.9658018867924528,13.667046203816907
OTI,Q4H7,LPS,9,1,608,552,1.1014492753623188,15.049113202191133
OTI,Q4H7,PolyIC,9,2,1023,898,1.1391982182628062,14.76902151384617
OTI,Q4H7,IFNg,9,3,859,872,0.9850917431192661,18.326848442067604
OTI,Q7,no_treatment,10,0,589,519,1.1348747591522157,16.0981364557271
OTI,Q7,LPS,10,1,387,330,1.1727272727272726,17.022238566557498
OTI,Q7,PolyIC,10,2,660,618,1.0679611650485437,13.200854005770006
OTI,Q7,IFNg,10,3,585,545,1.073394495412844,19.20805170514117
OTI,E1,no_treatment,11,0,474,670,0.7074626865671642,9.315109026303771
OTI,E1,LPS,11,1,323,383,0.8433420365535248,9.61871120119308
OTI,E1,PolyIC,11,2,567,769,0.7373211963589077,9.22412984318854
OTI,E1,IFNg,11,3,567,773,0.7335058214747736,13.328165539875863
OTI,CATNB,no_treatment,12,0,471,654,0.7201834862385321,9.51715942693875
OTI,CATNB,LPS,12,1,281,360,0.7805555555555556,10.678434952258927
OTI,CATNB,PolyIC,12,2,537,669,0.8026905829596412,9.324078162450142
OTI,CATNB,IFNg,12,3,518,719,0.7204450625869263,11.649790674492168
OTI,LCMV,no_treatment,13,0,436,651,0.6697388632872504,9.361964851377214
OTI,LCMV,LPS,13,1,234,310,0.7548387096774194,10.730081931390744
OTI,LCMV,PolyIC,13,2,443,651,0.6804915514592934,9.422444454585259
OTI,LCMV,IFNg,13,3,448,613,0.7308319738988581,13.230571061355997
OTI,TB,no_treatment,14,0,400,667,0.5997001499250375,9.998863576921778
OTI,TB,LPS,14,1,302,382,0.7905759162303665,10.481378182849749
OTI,TB,PolyIC,14,2,485,681,0.7121879588839941,9.278576306382181
OTI,TB,IFNg,14,3,493,710,0.6943661971830986,12.291296491300075
OTI,MCMV,no_treatment,15,0,236,329,0.7173252279635258,10.588856205484298
OTI,MCMV,LPS,15,1,174,213,0.8169014084507042,10.447746758315404
OTI,MCMV,PolyIC,15,2,283,360,0.7861111111111111,8.795754005243818
OTI,MCMV,IFNg,15,3,274,374,0.732620320855615,12.421359555720342
C57BL6,N4,no_treatment,0,0,54,536,0.10074626865671642,6.68319334568861
C57BL6,N4,LPS,0,1,44,377,0.11671087533156499,9.840536392402548
C57BL6,N4,PolyIC,0,2,55,552,0.09963768115942029,6.508195182234072
C57BL6,N4,IFNg,0,3,47,543,0.0865561694290976,9.898407113644675
C57BL6,A2,no_treatment,1,0,48,484,0.09917355371900827,5.488723021005804
C57BL6,A2,LPS,1,1,19,262,0.07251908396946564,6.18105168222152
C57BL6,A2,PolyIC,1,2,51,552,0.09239130434782608,5.820913428091268
C57BL6,A2,IFNg,1,3,58,427,0.1358313817330211,8.774369614999388
C57BL6,Y3,no_treatment,2,0,49,529,0.09262759924385633,6.694838111478994
C57BL6,Y3,LPS,2,1,39,257,0.1517509727626459,7.715775237549329
C57BL6,Y3,PolyIC,2,2,84,613,0.1370309951060359,7.222573896618761
C57BL6,Y3,IFNg,2,3,64,498,0.1285140562248996,9.31490497567916
C57BL6,Q4,no_treatment,3,0,67,673,0.09955423476968796,5.350011802136436
C57BL6,Q4,LPS,3,1,67,645,0.10387596899224806,6.787845445071777
C57BL6,Q4,PolyIC,3,2,86,877,0.09806157354618016,7.6007068262700175
C57BL6,Q4,IFNg,3,3,88,775,0.1135483870967742,8.437529570733778
C57BL6,T4,no_treatment,4,0,68,780,0.08717948717948718,6.820463531005324
C57BL6,T4,LPS,4,1,39,464,0.08405172413793104,9.675991187369169
C57BL6,T4,PolyIC,4,2,61,790,0.07721518987341772,6.481541767483193
C57BL6,T4,IFNg,4,3,115,765,0.1503267973856209,8.594293586463031
C57BL6,V4,no_treatment,5,0,65,688,0.09447674418604651,8.155838852816094
C57BL6,V4,LPS,5,1,47,527,0.08918406072106262,7.401607602995779
C57BL6,V4,PolyIC,5,2,69,782,0.08823529411764706,5.695707504577765
C57BL6,V4,IFNg,5,3,74,729,0.10150891632373114,6.858053212780393
C57BL6,G4,no_treatment,6,0,28,518,0.05405405405405406,5.1077047832246025
C57BL6,G4,LPS,6,1,38,385,0.0987012987012987,7.47236125678673
C57BL6,G4,PolyIC,6,2,39,547,0.0712979890310786,5.5443282876692
C57BL6,G4,IFNg,6,3,36,478,0.07531380753138076,8.765140972839442
C57BL6,D4,no_treatment,7,0,53,725,0.07310344827586207,5.588571091253193
C57BL6,D4,LPS,7,1,53,521,0.1017274472168906,10.561413987446922
C57BL6,D4,PolyIC,7,2,69,807,0.08550185873605948,6.280261734878603
C57BL6,D4,IFNg,7,3,90,787,0.11435832274459974,11.998311031888415
C57BL6,Q4R7,no_treatment,8,0,48,393,0.12213740458015267,6.566502349906785
C57BL6,Q4R7,LPS,8,1,29,251,0.11553784860557768,5.5640351297284365
C57BL6,Q4R7,PolyIC,8,2,32,406,0.07881773399014778,6.734508152221006
C57BL6,Q4R7,IFNg,8,3,37,344,0.10755813953488372,8.240468798744589
C57BL6,Q4H7,no_treatment,9,0,86,848,0.10141509433962265,6.843199166129496
C57BL6,Q4H7,LPS,9,1,54,552,0.09782608695652174,6.607653688347367
C57BL6,Q4H7,PolyIC,9,2,80,898,0.08908685968819599,6.651675510716781
C57BL6,Q4H7,IFNg,9,3,111,872,0.12729357798165136,8.183338193065993
C57BL6,Q7,no_treatment,10,0,55,519,0.10597302504816955,7.3280582202694555
C57BL6,Q7,LPS,10,1,26,330,0.07878787878787878,8.058460101462144
C57BL6,Q7,PolyIC,10,2,45,618,0.07281553398058252,6.933893259500231
C57BL6,Q7,IFNg,10,3,61,545,0.11192660550458716,9.658382813203849
C57BL6,E1,no_treatment,11,0,57,670,0.08507462686567165,5.864394699562156
C57BL6,E1,LPS,11,1,44,383,0.11488250652741515,6.425217324297244
C57BL6,E1,PolyIC,11,2,62,769,0.08062418725617686,7.286808907603788
C57BL6,E1,IFNg,11,3,73,773,0.0944372574385511,8.968282294064148
C57BL6,CATNB,no_treatment,12,0,54,654,0.08256880733944955,7.618442505220338
C57BL6,CATNB,LPS,12,1,35,360,0.09722222222222222,9.533947330302498
C57BL6,CATNB,PolyIC,12,2,40,669,0.059790732436472344,5.613030920437766
C57BL6,CATNB,IFNg,12,3,88,719,0.12239221140472879,9.323987001024202
C57BL6,LCMV,no_treatment,13,0,49,651,0.07526881720430108,5.891251915069243
C57BL6,LCMV,LPS,13,1,32,310,0.1032258064516129,7.551388828019392
C57BL6,LCMV,PolyIC,13,2,51,651,0.07834101382488479,7.421159615173255
C57BL6,LCMV,IFNg,13,3,48,613,0.07830342577487764,8.874665127240728
C57BL6,TB,no_treatment,14,0,47,667,0.0704647676161919,6.117146740506788
C57BL6,TB,LPS,14,1,38,382,0.09947643979057591,6.953754194665534
C57BL6,TB,PolyIC,14,2,55,681,0.08076358296622614,5.997632749333486
C57BL6,TB,IFNg,14,3,70,710,0.09859154929577464,9.18304135958791
C57BL6,MCMV,no_treatment,15,0,14,329,0.0425531914893617,7.724848372849176
C57BL6,MCMV,LPS,15,1,26,213,0.12206572769953052,6.291596537921166
C57BL6,MCMV,PolyIC,15,2,30,360,0.08333333333333333,5.193850639099391
C57BL6,MCMV,IFNg,15,3,32,374,0.0855614973262032,11.37072897473546
