contrast,treatment,program,n_program_genes_input,n_program_genes_tested,median_log2fc,fraction_sig_up,wilcox_enrichment_p_up,top_up_genes,padj_up_bh
IFNg_vs_no_treatment,IFNg,costim_checkpoint,16,9,-0.022130969673770005,0.1111111111111111,0.7559154957715802,Cd86;Cd40;Cd80;Cd274;Tnfsf9;Lgals9;Nfkb2;Nfkb1;Relb,0.9999971093747572
IFNg_vs_no_treatment,IFNg,antigen_presentation,27,24,0.17422826407986808,0.375,1.3105815862187392e-05,Cd74;H2-Aa;Ctsl;H2-K1;H2-Eb1;H2-Ab1;B2m;H2-DMb1;Ctsd;H2-D1;H2-DMa;Ctsc,0.00010484652689749913
IFNg_vs_no_treatment,IFNg,cytokines_inflammatory,17,6,0.007920895285865214,0.16666666666666666,0.37622733966474964,Il18;Nos2;Ptgs2;Il27;Ebi3;Tnf,0.9999971093747572
IFNg_vs_no_treatment,IFNg,chemokines_migration,20,8,-0.19695985632742025,0.125,0.996705811724508,Cxcl9;Ccl2;Cxcl10;Cxcl16;Ccl4;Ccl5;Ccl3;Cxcl11,0.9999971093747572
IFNg_vs_no_treatment,IFNg,ifn_response,29,21,0.041487134478327845,0.047619047619047616,0.1252676846876622,Gbp4;Gbp2;Isg15;Gbp3;Gbp5;Ifit2;Oas1g;Irf8;Ifitm3;Irf7;Irf1;Oas3,0.5010707387506488
IFNg_vs_no_treatment,IFNg,prr_nfkb,26,18,-0.06003987823566668,0.0,0.9409744116824926,Jun;Dusp2;Junb;Tlr7;Atf3;Nfkbiz;Nod1;Tnfaip3;Rel;Nfkbia;Tlr2;Tlr4,0.9999971093747572
IFNg_vs_no_treatment,IFNg,stress_myeloid,21,16,-0.22366149130770913,0.0625,0.9999971093747572,Lyz2;Srgn;Slpi;S100a8;Lpl;Tyrobp;Lgals3;Sod2;Trem2;Birc3;Socs3;Birc2,0.9999971093747572
IFNg_vs_no_treatment,IFNg,dc_context,12,5,-0.12050105512296033,0.2,0.7325440075565461,Csf1r;Sirpa;Clec9a;Itgax;Batf3,0.9999971093747572
LPS_vs_no_treatment,LPS,costim_checkpoint,16,10,0.12460375345829669,0.3,0.11447765454016368,Cd80;Lgals9;Cd40;Relb;Havcr2;Cd86;Nfkb1;Tnfsf9;Nfkb2;Cd274,0.30527374544043645
LPS_vs_no_treatment,LPS,antigen_presentation,27,20,0.07646336532947544,0.1,0.2705521079581399,Ctsc;Ctsd;Cd74;Tap1;Lamp1;Psmb9;Tapbp;Nlrc5;Tap2;Lamp2;Ctsb;Psmb10,0.40057326881889255
LPS_vs_no_treatment,LPS,cytokines_inflammatory,17,5,0.3579234457689678,0.6,0.016639083359417765,Nos2;Tnf;Il27;Ebi3;Il18,0.13311266687534212
LPS_vs_no_treatment,LPS,chemokines_migration,20,9,0.6350760277852512,0.4444444444444444,0.3004299516141694,Ccl3;Cxcl9;Cxcl10;Ccl4;Ccl2;Ccl7;Cxcl11;Cxcl16;Ccl5,0.40057326881889255
LPS_vs_no_treatment,LPS,ifn_response,29,21,-0.11072836158531076,0.09523809523809523,0.9954966961166386,Gbp2;Ifitm3;Isg15;Stat1;Ifitm2;Irf1;Irf5;Gbp5;Mx1;Gbp4;Ifit2;Irf8,0.9954966961166386
LPS_vs_no_treatment,LPS,prr_nfkb,26,19,0.1195397884010533,0.15789473684210525,0.11285092093641141,Cd14;Myd88;Nfkbia;Atf3;Nod2;Jun;Tlr7;Nlrp3;Nod1;Rel;Tnfaip3;Rela,0.30527374544043645
LPS_vs_no_treatment,LPS,stress_myeloid,21,17,0.024900983678551373,0.35294117647058826,0.26497024019744975,Lpl;Slpi;Srgn;Hmox1;S100a8;Lyz2;Lcn2;Serpinb9;Sod2;Birc3;Trem2;Socs1,0.40057326881889255
LPS_vs_no_treatment,LPS,dc_context,12,4,-0.12700903330761193,0.25,0.7782583979938421,Csf1r;Batf3;Itgax;Sirpa,0.8894381691358195
