gene,treatment_group,mean_log1p,program,selection_rationale,program_order,gene_order,z,zscore_cluster_order
Isg15,IFNg,0.29716835683521226,ifn_response,Canonical ISG retained as pathway anchor.,4,14,0.10627866446044792,0
Isg15,LPS,0.2058993411681685,ifn_response,Canonical ISG retained as pathway anchor.,4,14,-1.2744208862178292,0
Isg15,no_treatment,0.3673612105951677,ifn_response,Canonical ISG retained as pathway anchor.,4,14,1.1681422217573796,0
Nfkbia,IFNg,0.6723209568640004,prr_nfkb,NF-kB feedback regulator.,5,18,0.20170649816994116,1
Nfkbia,LPS,0.6236496865869826,prr_nfkb,NF-kB feedback regulator.,5,18,-1.3130767707372384,1
Nfkbia,no_treatment,0.7015492249163975,prr_nfkb,NF-kB feedback regulator.,5,18,1.111370272567287,1
Batf3,IFNg,0.15346717134239993,dc_context,cDC1/DC lineage-context transcription factor.,7,23,0.4048877752592799,2
Batf3,LPS,0.11010116630154654,dc_context,cDC1/DC lineage-context transcription factor.,7,23,-1.3759213765846667,2
Batf3,no_treatment,0.1672538720237272,dc_context,cDC1/DC lineage-context transcription factor.,7,23,0.9710336013253846,2
Myd88,IFNg,0.3164993240396237,prr_nfkb,TLR adaptor; primary PRR/NF-kB pathway gene.,5,17,0.6474255756391561,3
Myd88,LPS,0.2330129639618666,prr_nfkb,TLR adaptor; primary PRR/NF-kB pathway gene.,5,17,-1.4125792135147734,3
Myd88,no_treatment,0.32127052042075765,prr_nfkb,TLR adaptor; primary PRR/NF-kB pathway gene.,5,17,0.7651536378756173,3
Stat1,IFNg,1.2347862223296024,ifn_response,Core IFN signaling transcription factor.,4,15,0.8199439023082955,4
Stat1,LPS,1.0239285742531963,ifn_response,Core IFN signaling transcription factor.,4,15,-1.407854207635635,4
Stat1,no_treatment,1.212824600979926,ifn_response,Core IFN signaling transcription factor.,4,15,0.5879103053273371,4
Cxcl9,IFNg,1.614856754926883,chemokines_migration,IFNg-associated CXCR3 chemokine.,3,12,1.1906438381553262,5
Cxcl9,LPS,0.605239967343462,chemokines_migration,IFNg-associated CXCR3 chemokine.,3,12,-1.2562118024902216,5
