gene,treatment_group,mean_log1p,z
Ccl3,no_treatment,0.4549946123261469,-0.7332144970724694
Slpi,no_treatment,1.3366568386453763,-0.28484616961147263
Srgn,no_treatment,1.504883842736577,-1.3447768000682274
Itgam,no_treatment,0.7921421096553436,-0.43932567918015586
Ptgr1,no_treatment,0.4244700842720999,-0.6159193815395663
Gpnmb,no_treatment,0.9908124672249745,-0.42306547992068616
Cdkn1a,no_treatment,0.8647858062075219,-0.711540978430923
Ccl4,no_treatment,0.49959721723984823,-0.5543492441905039
Gm20186,no_treatment,0.17913966175231044,-1.0914255727993942
S100a6,no_treatment,1.927234480306308,-0.8614879388010996
Ifitm6,no_treatment,0.11663652975101238,-0.7524870219914302
Hmox1,no_treatment,0.8710478987631554,-0.7717111696492487
S100a8,no_treatment,0.32621408458642304,-0.39383078453711007
Lilrb4a,no_treatment,1.4245312016595781,-0.23117876309775662
Ctsd,no_treatment,1.460209216502257,-0.18024443631455409
Nos2,no_treatment,0.4009534558001912,-0.8845146174322858
Plaur,no_treatment,0.5256780431292204,-0.4429042155281746
Lyz2,no_treatment,2.709146247368267,0.3437933144755143
Atxn1,no_treatment,0.47358139309645764,-0.8863376013755433
Spink5,no_treatment,0.19080517417119086,-0.31175360626759135
Gm56906,no_treatment,0.11432561936587493,-1.243829197722127
Stfa3,no_treatment,0.42915470921873106,-0.9241206364501132
Lcn2,no_treatment,0.01244477121721749,-0.87100511272308
Cd37,no_treatment,0.1508589859630965,-1.1003626870413774
Cd14,no_treatment,0.5327999529757638,-0.7527185331777844
Cd74,no_treatment,1.6983867445163732,-0.4087157605489812
Ly6a,no_treatment,2.0214694706305045,-0.4136936381533534
Gbp4,no_treatment,0.23274073062507572,-0.6129287703150138
H2-Aa,no_treatment,0.017125466699890006,-0.6655717854541651
H2-Eb1,no_treatment,0.009503978182339284,-0.7076879384290746
H2-Ab1,no_treatment,0.007846754825467319,-0.6982943477468061
Cxcl9,no_treatment,1.150630148891999,0.06556796433489458
H2-DMb1,no_treatment,0.07668767397670172,-0.7866882690963373
Selenom,no_treatment,0.3503207241386131,-0.38297832177900554
Itgb7,no_treatment,0.14982790432790288,-1.3794802362792253
H2-DMa,no_treatment,0.09500139564098796,-0.9195389831798706
Id3,no_treatment,0.0991574385256487,-0.3262530352460445
Asb11,no_treatment,0.06921241371391705,-0.7019567329243006
Arhgef3,no_treatment,0.05336805333372309,-1.2685293435720348
Trf,no_treatment,0.10990286803251072,-1.389542412917284
Ly6c1,no_treatment,0.2228840912268982,-0.2541093281353923
Ciita,no_treatment,0.022914793730581782,-0.4069829987589357
Isg20,no_treatment,0.05158524245555628,-0.8494933135150531
Ccl3,LPS,1.1336647061666365,1.4138881926778126
Slpi,LPS,1.9916746587238032,1.3420676132987626
Srgn,LPS,1.9373688769938864,1.0514418507487777
Itgam,LPS,1.1912873941495983,1.3838126197771774
Ptgr1,LPS,0.8390735232005305,1.4104489136572174
Gpnmb,LPS,1.503530407135502,1.3801908164628802
Cdkn1a,LPS,1.2562795127299584,1.4142042741118876
Ccl4,LPS,0.9715529401522173,1.4039055955751962
Gm20186,LPS,0.45751563877086343,1.3245533761737764
S100a6,LPS,2.279903018317144,1.4020209116138294
Ifitm6,LPS,0.35478655018543365,1.413221071650164
Hmox1,LPS,1.2950569953453963,1.4121822399295874
S100a8,LPS,0.7194297134949107,1.373211692043048
Lilrb4a,LPS,1.7748607597315322,1.32385975055552
Ctsd,LPS,1.8298092894026625,1.304878966392592
Nos2,LPS,0.7147882772351225,1.3978855934908572
