contrast,treatment,control,gene,total_counts,pct_treatment,pct_control,mean_norm_treatment,mean_norm_control,mean_log1p_treatment,mean_log1p_control,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_treatment_cells,n_control_cells,neglog10_padj,in_top_gene_heatmap,sig
IFNg_vs_no_treatment,IFNg,no_treatment,Mrpl15,11904,0.6820360648254135,0.6678981937602875,2.155928462485444,2.130473946403879,0.9188497750444035,0.9022152043765116,0.016634570667891868,0.01637102285072912,1.128936882054243,9170.978487460645,0.02348949272356363,0.25895399007015607,True,0.49294233615083566,4381,4872,0.3072038810395993,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Lypla1,1710,0.16388952293996606,0.16687192118226865,0.31353980941790494,0.31729440143626086,0.16896990805875092,0.1716522135116749,-0.002682305452923972,-0.013039347895156334,-0.3251161676205339,9160.333246625732,-0.006766789334652073,0.7451005779092972,True,0.8729260380232479,4381,4872,0.05902255198645133,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Tcea1,11376,0.6797534809404552,0.6695402298850825,2.117447963869126,2.07954829820898,0.905414869080398,0.8903572767301449,0.015057592350253168,0.024871075884344507,1.03068140904644,9151.905368419984,0.021457243827748645,0.30271748253240993,True,0.5381992253096396,4381,4872,0.2690569317004524,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Atp6v1h,3932,0.3366811230312657,0.3341543513957331,0.7618413878507982,0.7618382733176785,0.37742509727707196,0.37352372554348784,0.0039013717335841247,5.213638691468807e-06,0.33336227320595224,9150.077951317186,0.0069404594965104165,0.7388684759573789,True,0.8692288122149051,4381,4872,0.06086588660995848,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Rb1cc1,1618,0.1570417712850929,0.15845648604269502,0.3241552348634714,0.3078749038114283,0.16759235676785472,0.1645997227607435,0.0029926340071112223,0.05646562548360443,0.3593065341511092,9087.820137582527,0.0074921530813029024,0.719374134640331,True,0.8580029884437563,4381,4872,0.06651119949118663,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,St18,890,0.08468386213193306,0.08148604269293916,0.18350243668521315,0.1716410692274847,0.09032461479135738,0.08620988177105297,0.004114733020304406,0.06165951894228758,0.637622560188625,9091.81527526112,0.013294326028108355,0.5237354631761677,True,0.7279086335554438,4381,4872,0.13792312952335467,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Pcmtd1,1674,0.1463136270257916,0.16461412151067573,0.31382690834204024,0.3569152027422197,0.15730773884869662,0.17832421538879692,-0.021016476540100304,-0.14289898864505698,-2.4497742466967614,9227.91625425821,-0.050854820695870176,0.014313030909342671,True,0.0693370685168326,4381,4872,1.1590345237104285,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Rrs1,8744,0.5617438940881122,0.5952380952381053,1.5407343114507674,1.6798579045592104,0.6987975280509082,0.7541846246656578,-0.05538709661474961,-0.11742042958643036,-3.915253475241642,9171.93177007255,-0.08146121562579609,9.096323113482302e-05,True,0.001140559404696343,4381,4872,2.9428820900804933,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Adhfe1,568,0.05615156356996133,0.06034482758620683,0.11602963175150066,0.11547464253292358,0.0596274371504873,0.062172418452844935,-0.0025449813023576337,0.0037111133428391367,-0.48108252254814005,9146.46484659695,-0.010016934837809688,0.6304693570698409,True,0.802356098366108,4381,4872,0.09563284214983853,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,2610203C22Rik,1160,0.11686829490983695,0.11104269293924454,0.22044818005027628,0.2195270316111209,0.11920429104464554,0.11497161243149409,0.00423267861315145,0.004153089615378126,0.5976502461004037,9151.951393548732,0.01244216718830761,0.5500881171977109,True,0.7465171178086805,4381,4872,0.1269602293527295,False,False
