contrast,treatment,control,gene,total_counts,pct_treatment,pct_control,mean_norm_treatment,mean_norm_control,mean_log1p_treatment,mean_log1p_control,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_treatment_cells,n_control_cells,neglog10_padj,in_top_gene_heatmap,sig
LPS_vs_no_treatment,LPS,no_treatment,Mrpl15,7611,0.6699702675916824,0.6678981937602875,1.9437993470286667,2.130473946403879,0.8630942845348961,0.9022152043765116,-0.039120919841615476,-0.12609673191241536,-1.65387499530631,1505.7853962951874,-0.055360903378025426,0.09836134275030055,True,0.2383246072967519,1009,4872,0.622831113921014,False,False
LPS_vs_no_treatment,LPS,no_treatment,Lypla1,1111,0.15659068384539082,0.16687192118226865,0.3146467720436281,0.31729440143626086,0.16158937332367515,0.1716522135116749,-0.010062840187999744,-0.009182703807065923,-0.7313122497648429,1455.3801748310975,-0.02530256945449023,0.46470617541633896,True,0.6559374598494493,1009,4872,0.18313756632107966,False,False
LPS_vs_no_treatment,LPS,no_treatment,Tcea1,7261,0.6838453914767174,0.6695402298850825,2.0365965375176307,2.07954829820898,0.8845751082262928,0.8903572767301449,-0.005782168503852048,-0.028714670220323653,-0.24242173523143698,1477.6458781958793,-0.008262117832140122,0.8084870363443454,True,0.8954375289323221,1009,4872,0.047964707733826044,False,False
LPS_vs_no_treatment,LPS,no_treatment,Atp6v1h,2582,0.3736372646184354,0.3341543513957331,0.800444313136031,0.7618382733176785,0.40419305129652405,0.37352372554348784,0.030669325753036214,0.06321988878372616,1.5815758154741573,1459.541579528085,0.05456370440977354,0.11396309981215491,True,0.2635817518928807,1009,4872,0.5790846598084967,False,False
LPS_vs_no_treatment,LPS,no_treatment,Rb1cc1,1073,0.18037661050545012,0.15845648604269502,0.3400709391962553,0.3078749038114283,0.18259440800385474,0.1645997227607435,0.017994685243111236,0.10960936206454533,1.2795141281340037,1421.8242293766134,0.04535524912232842,0.20092481943611623,True,0.3853191101075929,1009,4872,0.4141794513854786,False,False
LPS_vs_no_treatment,LPS,no_treatment,St18,625,0.12784935579781917,0.08148604269293916,0.31225688197332163,0.1716410692274847,0.14209164548083805,0.08620988177105297,0.05588176370978508,0.6018419612145532,4.168611589142852,1259.4879076229986,0.17230851999154728,3.274056629113642e-05,True,0.00038904276139467775,1009,4872,3.4100026608411365,False,True
LPS_vs_no_treatment,LPS,no_treatment,Pcmtd1,1111,0.14568880079286364,0.16461412151067573,0.2998739077100588,0.3569152027422197,0.15228370329613722,0.17832421538879692,-0.0260405120926597,-0.19238129901316475,-1.8965203056020716,1539.7017661102207,-0.06220599913604204,0.058078300181845455,True,0.16554853774721567,1009,4872,0.7810746509198861,False,False
LPS_vs_no_treatment,LPS,no_treatment,Rrs1,5839,0.5906838453914826,0.5952380952381053,1.5935849346393298,1.6798579045592104,0.7227747877920336,0.7541846246656578,-0.0314098368736242,-0.07168172688052062,-1.3490309854043054,1474.9744291851102,-0.046058464241326834,0.1775340713396946,True,0.35335779496471714,1009,4872,0.4517853238403481,False,False
LPS_vs_no_treatment,LPS,no_treatment,Adhfe1,394,0.08126858275520304,0.06034482758620683,0.15674285129062948,0.11547464253292358,0.08180453156413921,0.062172418452844935,0.019632113111294272,0.2528060067204188,1.9864892229523157,1342.1459354737217,0.07525379722785619,0.04718211553780724,True,0.1425664129411094,1009,4872,0.8459827773763947,False,False
LPS_vs_no_treatment,LPS,no_treatment,2610203C22Rik,772,0.14965312190287353,0.11104269293924454,0.31076854327102466,0.2195270316111209,0.1515654052829022,0.11497161243149409,0.0365937928514081,0.3623877174012452,2.766501138567901,1343.577438428083,0.10466407853118444,0.005743796678079372,True,0.029301349797502242,1009,4872,1.5331123729529035,False,False
LPS_vs_no_treatment,LPS,no_treatment,Vcpip1,1373,0.19623389494548965,0.1988916256157683,0.4273301671227068,0.42011869556378734,0.20880146335038252,0.2144988429924027,-0.005697379642020189,0.01986563547831327,-0.36384359573142794,1452.828959150661,-0.012610941779312188,0.7160277460656594,True,0.8374899447540026,1009,4872,0.07702039857656952,False,False
LPS_vs_no_treatment,LPS,no_treatment,Sgk3,851,0.11496531219028705,0.13321018062397413,0.20152568479576943,0.27220355373538924,0.11103860126668375,0.14011411810645338,-0.02907551683976964,-0.3038109299337971,-2.526672276741244,1622.862804181343,-0.07927298963722772,0.011609263922696967,True,0.050034052295323934,1009,4872,1.300734321857168,False,False
LPS_vs_no_treatment,LPS,no_treatment,Snhg6,3323,0.5143706640237902,0.3606321839080465,1.4021073517523182,0.8177444167644721,0.6286044893909805,0.4090260274001924,0.21957846199078807,0.7108235846309157,9.635605403929686,1326.1818873816476,0.37059724059962906,2.7639935192443597e-21,True,3.3801337412425815e-19,1009,4872,18.47106611571804,False,True
LPS_vs_no_treatment,LPS,no_treatment,Cops5,3887,0.4836471754212127,0.46531198686370434,1.0440584232377994,1.1064454946122178,0.5319781143934125,0.5394393074261333,-0.007461193032720859,-0.07660201063132507,-0.362957472098074,1504.454264160758,-0.012159494640255812,0.7166876399706772,True,0.8378166051436289,1009,4872,0.07685103637061669,False,False
LPS_vs_no_treatment,LPS,no_treatment,Cspp1,1348,0.20614469772051436,0.1937602627257844,0.4060382251339283,0.4057184086515043,0.21271401674985388,0.20649810149871617,0.00621591525113771,0.0009120724355003116,0.4074276026011685,1463.565620908938,0.014017442467606927,0.6837535410012362,True,0.8146752271334079,1009,4872,0.08901548963367688,False,False
LPS_vs_no_treatment,LPS,no_treatment,Arfgef1,2669,0.3548067393458879,0.34380131362890154,0.820081497594016,0.7893414294805843,0.39511120226741253,0.38741259393570066,0.007698608331711876,0.04902426133188405,0.38716218863138546,1446.3746026263937,0.013480214734350082,0.6986930991160927,True,0.8255926773279052,1009,4872,0.08323416771563692,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ncoa2,938,0.16154608523290317,0.13587848932676577,0.33075218209156104,0.2913157079876849,0.16446772570701135,0.1447787041473353,0.019689021559676056,0.1385250815297332,1.4204466263777153,1419.7583908357753,0.05042933012420537,0.1556972598063623,True,0.32427958794650996,1009,4872,0.48908038750091465,False,False
