gene,no_treatment,LPS,PolyIC,IFNg
Cd40,0.7592393007273288,-1.375643418954813,1.1270988321057622,-0.510694713878278
Cd80,-0.7973617927724255,1.694191335988403,-0.6626322705384966,-0.23419727267748106
Cd83,-0.14083482982229997,1.3150200100934624,0.29651719505766305,-1.4707023753288255
Cd86,-1.290217246196628,1.001834645300554,-0.6589539351234975,0.9473365360195714
Cd274,-0.004592423131633136,0.6322470353958449,0.9906395274314533,-1.6182941396956652
Pdcd1lg2,-1.713820171638274,0.3830105971585107,0.5417192181816167,0.7890903562981466
Icosl,0.1548574500646731,1.0767729314127654,-1.6302417593101208,0.3986113778326823
Tnfsf4,-0.5773502691896257,-0.5773502691896257,1.7320508075688772,-0.5773502691896257
Tnfsf9,0.8805787601393621,-1.3380880130916137,1.0440595259289311,-0.5865502729766794
Tnfsf18,-0.7241956628511936,-1.2163832200788232,1.2080175460101361,0.7325613369198806
Havcr2,-0.4740047339457213,1.7110034404840029,-0.4151476396542061,-0.8218510668840755
Lgals9,-0.906025649759573,1.690468495278247,-0.4751626655361528,-0.30928017998252133
Relb,0.5312128493794991,-1.7286901829089751,0.6776917477996645,0.5197855857298115
Nfkb1,-0.5781991668167344,1.7022988743478122,-0.3012202257984711,-0.8228794817326067
Nfkb2,-0.3379925891939359,0.750140891941803,1.0663480545305692,-1.4784963572784364
H2-Aa,-0.5518856709157883,-0.6324618399040033,-0.5467017237603589,1.7310492345801505
H2-Ab1,-0.5801942982013305,-0.5949520520282539,-0.5567436865745476,1.7318900368041321
H2-Eb1,-0.603303731734836,-0.5857279908330278,-0.5425965142958027,1.7316282368636666
H2-DMa,-0.8111065846230923,-0.2469570629594267,-0.6374519901272413,1.6955156377097602
H2-DMb1,-0.7582474934148178,-0.5455609527780422,-0.41521005226308866,1.7190184984559487
H2-DMb2,0.5661517969666797,1.0590746611128048,-1.5991094098821554,-0.026117048197328987
H2-Oa,-0.786079829615261,-0.11265235144310659,-0.7683219201187441,1.6670541011771116
H2-Ob,1.7320508075688772,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
Cd74,-0.3375968426410622,-0.9530120850816792,-0.39030179224377526,1.6809107199665165
H2-K1,-0.7849170132032396,-0.315439970375534,-0.6071914062592662,1.7075483898380397
H2-D1,-0.4327331391266407,-0.8574633994405672,-0.41442874661925344,1.7046252851864612
B2m,-0.5948228934168576,-0.4616593964043289,-0.6707123389297682,1.7271946287509548
Tap1,0.9137311276490707,-1.6505598247412607,0.6593519938293834,0.07747670326280659
Tap2,0.4625327497163117,-1.6253015484395357,1.0653485986769078,0.09742020004631617
Tapbp,0.068335827511313,-1.5843474625831142,0.3481108958497118,1.1679007392220893
Psmb8,-0.3729185341893935,-1.2606926213457963,0.1322461655914898,1.5013649899437
Psmb9,0.45780010600104204,-1.7204253213388085,0.5019979537461312,0.7606272615916352
Psmb10,-0.878885472674477,1.5784611723827757,-0.8454276249885587,0.14585192528026003
Ciita,-0.3453351579874443,-0.924524113439656,-0.41857107802890453,1.6884303494560047
Nlrc5,-0.6217224793066121,1.5206182260684977,-1.1192144698531132,0.2203187230912276
Ctss,-0.7759759260066813,-0.24840631259767335,-0.673447143562105,1.6978293821664596
Ctsb,0.08095603364991921,0.8881445836903361,0.6848656386755037,-1.6539662560157589
Ctsc,0.38625066782490775,-1.68586544585771,0.36330360681870244,0.9363111712140998
Ctsd,-0.22048311775617702,1.5039838753482992,0.016175376934420983,-1.299676134526543
Ctsl,0.38189610464665175,0.6883156534093344,0.6497359507085234,-1.7199477087645096
Lamp1,-0.9290088142055933,1.6830542261992585,-0.47696982483170336,-0.2770755871619619
Lamp2,-0.9989662813554356,1.5528219861252883,0.19074306678139988,-0.7445987715512524
Il23a,-0.6358194336232798,1.537690356578325,-1.0930244094734771,0.19115348651843161
Il27,-0.3966412726897513,1.7214262504188371,-0.6320630760803385,-0.6927219016487474
Ebi3,-0.4942368294872367,1.6472079023186583,-1.011091642864038,-0.1418794299673838
Il6,-0.4817365524161892,1.711945660378566,-0.8156846194417995,-0.4145244885205775
Il1a,-0.7601115686446059,1.7122798821524947,-0.6121278257801919,-0.340040487727697
Il1b,-0.6998829353594775,1.6937553517113204,-0.7684739544924681,-0.2253984618593747
