t_cell_type,bin_left,bin_right,bin_center,n_t_cells,zero_umi_cells
OTI,1,2,1.4142135623730951,200,2664
OTI,2,3,2.449489742783178,175,2664
OTI,3,4,3.4641016151377544,227,2664
OTI,4,5,4.47213595499958,228,2664
OTI,5,6,5.477225575051661,231,2664
OTI,6,7,6.48074069840786,227,2664
OTI,7,9,7.937253933193772,384,2664
OTI,9,11,9.9498743710662,344,2664
OTI,11,13,11.958260743101398,316,2664
OTI,13,16,14.422205101855956,412,2664
OTI,16,19,17.435595774162696,353,2664
OTI,19,23,20.904544960366874,467,2664
OTI,23,28,25.37715508089904,501,2664
OTI,28,34,30.854497241083024,503,2664
OTI,34,41,37.33630940518894,563,2664
OTI,41,50,45.27692569068709,656,2664
OTI,50,60,54.772255750516614,586,2664
OTI,60,72,65.72670690061993,592,2664
OTI,72,87,79.14543574963751,658,2664
OTI,87,105,95.57719393244395,647,2664
OTI,105,126,115.02173707608489,623,2664
OTI,126,153,138.84523758487362,663,2664
OTI,153,184,167.78557744931476,617,2664
OTI,184,222,202.1088815465565,524,2664
OTI,222,267,243.46252278328177,472,2664
OTI,267,322,293.213232989236,389,2664
OTI,322,388,353.4628693370776,327,2664
OTI,388,467,425.6712346400682,256,2664
OTI,467,563,512.7582276277973,170,2664
OTI,563,679,618.2855327435699,138,2664
OTI,679,818,745.2663953245175,88,2664
OTI,818,985,897.6246431554785,55,2664
OTI,985,1187,1081.2932072291956,33,2664
OTI,1187,1431,1303.302344047612,24,2664
OTI,1431,1724,1570.6826541348191,12,2664
OTI,1724,2077,1892.2864476606073,2,2664
OTI,2077,2502,2279.617073106797,3,2664
OTI,2502,3015,2746.5487434232805,0,2664
OTI,3015,3632,3309.150948506278,0,2664
C57BL6,1,2,1.4142135623730951,252,4222
C57BL6,2,3,2.449489742783178,179,4222
C57BL6,3,4,3.4641016151377544,227,4222
C57BL6,4,5,4.47213595499958,240,4222
C57BL6,5,6,5.477225575051661,223,4222
C57BL6,6,7,6.48074069840786,190,4222
C57BL6,7,9,7.937253933193772,273,4222
C57BL6,9,11,9.9498743710662,213,4222
C57BL6,11,13,11.958260743101398,173,4222
C57BL6,13,16,14.422205101855956,142,4222
C57BL6,16,19,17.435595774162696,124,4222
C57BL6,19,23,20.904544960366874,98,4222
C57BL6,23,28,25.37715508089904,89,4222
C57BL6,28,34,30.854497241083024,66,4222
C57BL6,34,41,37.33630940518894,48,4222
C57BL6,41,50,45.27692569068709,65,4222
C57BL6,50,60,54.772255750516614,42,4222
C57BL6,60,72,65.72670690061993,26,4222
C57BL6,72,87,79.14543574963751,28,4222
C57BL6,87,105,95.57719393244395,22,4222
C57BL6,105,126,115.02173707608489,15,4222
C57BL6,126,153,138.84523758487362,18,4222
C57BL6,153,184,167.78557744931476,12,4222
C57BL6,184,222,202.1088815465565,7,4222
C57BL6,222,267,243.46252278328177,7,4222
C57BL6,267,322,293.213232989236,7,4222
C57BL6,322,388,353.4628693370776,8,4222
C57BL6,388,467,425.6712346400682,4,4222
C57BL6,467,563,512.7582276277973,3,4222
C57BL6,563,679,618.2855327435699,3,4222
C57BL6,679,818,745.2663953245175,1,4222
C57BL6,818,985,897.6246431554785,1,4222
C57BL6,985,1187,1081.2932072291956,0,4222
C57BL6,1187,1431,1303.302344047612,0,4222
C57BL6,1431,1724,1570.6826541348191,0,4222
C57BL6,1724,2077,1892.2864476606073,0,4222
C57BL6,2077,2502,2279.617073106797,0,4222
C57BL6,2502,3015,2746.5487434232805,0,4222
C57BL6,3015,3632,3309.150948506278,0,4222
