PeptideBC_Name,t_cell_umi,dc_umi,t_cell_proportion,dc_proportion,log2_lfc_t_over_dc,bulk_log2_lfc,is_control_center_peptide,bulk_log2_lfc_centered,log2_lfc_t_over_dc_centered,bulk_control_mean_subtracted,barcode_control_mean_subtracted
N4,139487,514276,0.0893744105224309,0.0196608390948053,2.1845368691085727,1.8369,False,2.33806,3.5615233332044296,-0.5011599999999999,-1.3769864640958567
A2,126266,802670,0.0809032334126138,0.030686179631612923,1.39860828966305,1.1207,False,1.6218599999999999,2.7755947537589067,-0.5011599999999999,-1.3769864640958567
Y3,158609,1182892,0.10162657364881489,0.0452221166815726,1.1681772482996993,0.6369,False,1.1380599999999998,2.545163712395556,-0.5011599999999999,-1.3769864640958567
Q4,167458,1781909,0.10729645083244485,0.06812261534776154,0.6553966186678167,0.50503,False,1.00619,2.0323830827636735,-0.5011599999999999,-1.3769864640958567
T4,174879,2150701,0.11205135631099811,0.08222158199495377,0.44657107155488535,0.31809,False,0.8192499999999999,1.823557535650742,-0.5011599999999999,-1.3769864640958567
V4,106296,2099595,0.06810772574427951,0.08026779289575584,-0.2370027670472415,0.024571,False,0.525731,1.1399836970486152,-0.5011599999999999,-1.3769864640958567
G4,42625,1421061,0.02731139280734848,0.054327348865012386,-0.9921757304591717,-0.080142,False,0.42101799999999995,0.38481073363668494,-0.5011599999999999,-1.3769864640958567
D4,82808,2143105,0.05305810711063725,0.08193118591626423,-0.6268394805273418,-0.40601,False,0.09514999999999996,0.7501469835685148,-0.5011599999999999,-1.3769864640958567
Q4R7,89579,953332,0.05739653387189371,0.03644600770000724,0.655202811728361,0.46608,False,0.9672399999999999,2.0321892758242175,-0.5011599999999999,-1.3769864640958567
Q4H7,156813,2582963,0.1004758109160994,0.09874701508690971,0.025039176503068476,-0.029003,False,0.47215699999999994,1.402025640598925,-0.5011599999999999,-1.3769864640958567
Q7,102957,1479821,0.0659683066103502,0.05657375139052546,0.2216402292619931,0.1729,False,0.6740599999999999,1.5986266933578497,-0.5011599999999999,-1.3769864640958567
E1,50462,2051751,0.0323328446649717,0.07843871048543168,-1.2785653496110492,-0.4362,False,0.06495999999999996,0.0984211144848075,-0.5011599999999999,-1.3769864640958567
CATNB,48595,1915294,0.03113658964159764,0.07322194143464991,-1.233665063511097,-0.48036,True,0.02079999999999993,0.14332140058475962,-0.5011599999999999,-1.3769864640958567
LCMV,41868,1899835,0.026826355285819732,0.07263094183216681,-1.4369331954581446,-0.42832,True,0.07283999999999996,-0.0599467313622879,-0.5011599999999999,-1.3769864640958567
TB,45293,1899824,0.029020877757729845,0.07263052130072059,-1.3234847496596749,-0.51889,True,-0.017730000000000024,0.05350171443618179,-0.5011599999999999,-1.3769864640958567
MCMV,26709,1278349,0.017113430861969984,0.04887145034185001,-1.51386284775451,-0.57707,True,-0.07591000000000003,-0.1368763836586533,-0.5011599999999999,-1.3769864640958567
