gene_set,gene,group,x,y,zscore,positive_mean_expression,x_plot,y_plot
No-treatment,Fos,no_treatment,0,0,1.0426296117272227,0.7701091766357422,0.0,0.0
No-treatment,Fos,LPS,1,0,0.03760601856840288,0.6757275462150574,1.12,0.0
No-treatment,Fos,PolyIC,2,0,0.522198022282561,0.7364583611488342,2.24,0.0
No-treatment,Fos,IFNg,3,0,-0.00918448394637177,0.670915961265564,3.3600000000000003,0.0
No-treatment,Fos,Multiple,4,0,0.7439415447549067,0.644057035446167,4.48,0.0
No-treatment,Fos,OTI no interaction,5,0,-0.0836863942654268,1.218682050704956,5.6000000000000005,0.0
No-treatment,Fos,C57BL/6,6,0,-2.2535043191212947,1.3649287223815918,6.720000000000001,0.0
No-treatment,Fosb,no_treatment,0,1,1.539024577013994,0.7318761348724365,0.0,1.46
No-treatment,Fosb,LPS,1,1,-0.10688456821616961,0.7558697462081909,1.12,1.46
No-treatment,Fosb,PolyIC,2,1,0.198802073828731,0.6761485934257507,2.24,1.46
No-treatment,Fosb,IFNg,3,1,0.28587540547679186,0.7131944894790649,3.3600000000000003,1.46
No-treatment,Fosb,Multiple,4,1,0.09159342691117113,0.5248022675514221,4.48,1.46
No-treatment,Fosb,OTI no interaction,5,1,0.10788389834076616,1.1267716884613037,5.6000000000000005,1.46
No-treatment,Fosb,C57BL/6,6,1,-2.1162948133552852,1.016344666481018,6.720000000000001,1.46
No-treatment,Dusp1,no_treatment,0,2,1.0806825328144376,0.6130715608596802,0.0,2.92
No-treatment,Dusp1,LPS,1,2,-0.635528007429512,0.48685064911842346,1.12,2.92
No-treatment,Dusp1,PolyIC,2,2,-1.3298290910922645,0.5033568739891052,2.24,2.92
No-treatment,Dusp1,IFNg,3,2,0.136060873364421,0.496438205242157,3.3600000000000003,2.92
No-treatment,Dusp1,Multiple,4,2,-0.5252309673098685,0.42569148540496826,4.48,2.92
No-treatment,Dusp1,OTI no interaction,5,2,-0.49313602370722964,1.104193925857544,5.6000000000000005,2.92
No-treatment,Dusp1,C57BL/6,6,2,1.76698068336002,1.3996275663375854,6.720000000000001,2.92
No-treatment,Rela,no_treatment,0,3,1.3827043578147893,0.7181939482688904,0.0,4.38
No-treatment,Rela,LPS,1,3,0.6884961235299971,0.6969084143638611,1.12,4.38
No-treatment,Rela,PolyIC,2,3,0.43637628541615164,0.683193027973175,2.24,4.38
No-treatment,Rela,IFNg,3,3,0.09154633023764067,0.6413567662239075,3.3600000000000003,4.38
No-treatment,Rela,Multiple,4,3,0.30016210170298807,0.5626195669174194,4.48,4.38
No-treatment,Rela,OTI no interaction,5,3,-1.2023855117811293,1.1459225416183472,5.6000000000000005,4.38
No-treatment,Rela,C57BL/6,6,3,-1.696899686920431,1.4076398611068726,6.720000000000001,4.38
No-treatment,Cd27,no_treatment,0,4,1.157528170658951,1.1652499437332153,0.0,5.84
No-treatment,Cd27,LPS,1,4,0.8621138080194283,1.1294678449630737,1.12,5.84
No-treatment,Cd27,PolyIC,2,4,0.35186410731109513,1.108642816543579,2.24,5.84
No-treatment,Cd27,IFNg,3,4,0.25731231781370417,1.085782766342163,3.3600000000000003,5.84
No-treatment,Cd27,Multiple,4,4,0.37057343181913527,0.9937800168991089,4.48,5.84
No-treatment,Cd27,OTI no interaction,5,4,-1.2859554477644635,1.4889146089553833,5.6000000000000005,5.84
No-treatment,Cd27,C57BL/6,6,4,-1.7134363878578551,1.6351619958877563,6.720000000000001,5.84
No-treatment,Prf1,no_treatment,0,5,1.1669611349941647,0.7652137875556946,0.0,7.3
No-treatment,Prf1,LPS,1,5,0.11645978778490722,0.7043617367744446,1.12,7.3
No-treatment,Prf1,PolyIC,2,5,0.5056226585738853,0.7304455637931824,2.24,7.3
No-treatment,Prf1,IFNg,3,5,0.5152671954936683,0.7156844735145569,3.3600000000000003,7.3
No-treatment,Prf1,Multiple,4,5,0.48338345314006087,0.5737960934638977,4.48,7.3
No-treatment,Prf1,OTI no interaction,5,5,-0.6923468837364847,1.1600863933563232,5.6000000000000005,7.3
No-treatment,Prf1,C57BL/6,6,5,-2.095347346250201,1.3779222965240479,6.720000000000001,7.3
No-treatment,S1pr5,no_treatment,0,6,1.6170374761296937,0.2759508788585663,0.0,8.76
No-treatment,S1pr5,LPS,1,6,-0.7219943749462081,0.0,1.12,8.76
No-treatment,S1pr5,PolyIC,2,6,-0.7219943749462081,0.0,2.24,8.76
No-treatment,S1pr5,IFNg,3,6,-0.7219943749462081,0.0,3.3600000000000003,8.76
No-treatment,S1pr5,Multiple,4,6,-0.22837083552568782,0.32997289299964905,4.48,8.76
No-treatment,S1pr5,OTI no interaction,5,6,-0.7219943749462081,0.0,5.6000000000000005,8.76
No-treatment,S1pr5,C57BL/6,6,6,1.4993108591808264,1.4745965003967285,6.720000000000001,8.76
No-treatment,Cxcr6,no_treatment,0,7,1.5165262494397131,0.6734617948532104,0.0,10.219999999999999
No-treatment,Cxcr6,LPS,1,7,-1.0842009822219112,0.5825987458229065,1.12,10.219999999999999
No-treatment,Cxcr6,PolyIC,2,7,-0.9308333344466657,0.5469407439231873,2.24,10.219999999999999
No-treatment,Cxcr6,IFNg,3,7,-0.790469002347696,0.5338093638420105,3.3600000000000003,10.219999999999999
No-treatment,Cxcr6,Multiple,4,7,-0.5570857314946877,0.47903114557266235,4.48,10.219999999999999
No-treatment,Cxcr6,OTI no interaction,5,7,1.020617208251738,1.1212564706802368,5.6000000000000005,10.219999999999999
No-treatment,Cxcr6,C57BL/6,6,7,0.8254455928195132,1.409852385520935,6.720000000000001,10.219999999999999
LPS,Rorc,no_treatment,0,9,-0.2687546851677998,0.4907170534133911,0.0,13.14
LPS,Rorc,LPS,1,9,2.1051696708084386,0.6249485015869141,1.12,13.14
LPS,Rorc,PolyIC,2,9,0.3689838127000753,0.46953335404396057,2.24,13.14
LPS,Rorc,IFNg,3,9,-0.2235032881430548,0.3896145820617676,3.3600000000000003,13.14
LPS,Rorc,Multiple,4,9,-0.13664896432874096,0.3761477470397949,4.48,13.14
LPS,Rorc,OTI no interaction,5,9,-0.3800421935138358,1.28652822971344,5.6000000000000005,13.14
LPS,Rorc,C57BL/6,6,9,-1.4652043523550833,1.19123375415802,6.720000000000001,13.14
LPS,Csf2,no_treatment,0,10,-0.32373458729180254,0.6492942571640015,0.0,14.6
LPS,Csf2,LPS,1,10,1.951204528852224,1.083204746246338,1.12,14.6
LPS,Csf2,PolyIC,2,10,-0.2504833568258821,0.8469648957252502,2.24,14.6
LPS,Csf2,IFNg,3,10,0.5948605440627917,0.7667989730834961,3.3600000000000003,14.6
LPS,Csf2,Multiple,4,10,0.28660637631118424,0.5997874140739441,4.48,14.6
LPS,Csf2,OTI no interaction,5,10,-0.9896801790788765,0.9697228670120239,5.6000000000000005,14.6
LPS,Csf2,C57BL/6,6,10,-1.2687733260296383,1.6835445165634155,6.720000000000001,14.6
LPS,Il21,no_treatment,0,11,0.12688592918148117,0.3748924136161804,0.0,16.06
LPS,Il21,LPS,1,11,1.4553217777078158,0.5772468447685242,1.12,16.06
LPS,Il21,PolyIC,2,11,-1.0712660137302257,0.0,2.24,16.06
LPS,Il21,IFNg,3,11,1.0303439474920448,0.4559343755245209,3.3600000000000003,16.06
LPS,Il21,Multiple,4,11,0.6012463868093352,0.49419650435447693,4.48,16.06
LPS,Il21,OTI no interaction,5,11,-1.0712660137302257,0.0,5.6000000000000005,16.06
LPS,Il21,C57BL/6,6,11,-1.0712660137302257,0.0,6.720000000000001,16.06
LPS,Gzmm,no_treatment,0,12,-0.5010222997340461,0.5192772746086121,0.0,17.52
LPS,Gzmm,LPS,1,12,1.8082120628050067,0.5044826865196228,1.12,17.52
LPS,Gzmm,PolyIC,2,12,-0.7688350652425106,0.41947922110557556,2.24,17.52
LPS,Gzmm,IFNg,3,12,0.5084889850472019,0.5516746044158936,3.3600000000000003,17.52
LPS,Gzmm,Multiple,4,12,0.008354820924938142,0.3999079167842865,4.48,17.52
LPS,Gzmm,OTI no interaction,5,12,0.4904591062969883,1.3798962831497192,5.6000000000000005,17.52
LPS,Gzmm,C57BL/6,6,12,-1.545657610097577,1.3126347064971924,6.720000000000001,17.52
LPS,Gzmc,no_treatment,0,13,0.8542305580120816,0.9790805578231812,0.0,18.98
LPS,Gzmc,LPS,1,13,1.213964483043076,1.0210765600204468,1.12,18.98
LPS,Gzmc,PolyIC,2,13,0.7098423587416954,0.9631173014640808,2.24,18.98
