gene,no_treatment,LPS,PolyIC,IFNg,Multiple,OTI no interaction,C57BL/6
Cd2,-0.561892209696834,-0.12011031671673547,-0.3427899628878719,-0.40435605420019577,-0.9399389962842223,0.022849172127429387,2.34623836765843
Cd3d,-0.13418115016013804,-0.15583115859288457,-0.17170162851942292,0.048896713363549005,0.6135928955352704,-1.9072065946445003,1.7064309230181263
Cd3e,0.5263043297652271,-0.18677353987233095,-0.0935130073729051,0.03332926333474069,-0.5150546391252273,-1.6689315232737243,1.9046391165442342
Cd3g,0.42822450825628794,0.6237238660021531,-0.17540154770014035,-0.6736206771364209,-0.6254468723908803,-1.441406592117159,1.8639273150861644
Cd247,-0.3348189479561861,-0.2653583035428113,-0.7048010273007023,-0.7289821808639158,-0.7342131404270263,2.2263635535634423,0.5418100465271958
Trac,0.517456847515073,0.4517894424909992,0.602683847645806,0.5661405036475444,0.9437894896686613,-1.2209985991544143,-1.8608615318136688
Trbc1,0.8362653853704551,0.49278870851972034,0.511174958045604,0.4135038307280567,0.7749059152867908,-1.0459559842776007,-1.9826828136730252
Trbc2,0.5641406169461135,0.5349566586654831,0.5595866288627095,0.4906962436672028,0.9502596374453369,-1.290233721979268,-1.809406063607577
Cd4,1.4232561698442971,-1.1076556859701834,0.4434703223209691,-1.1076556859701834,0.5927424789803983,-1.1076556859701834,0.863498086764885
Cd8a,0.1726358328437067,0.32787170121302034,0.4785931009418226,0.5193744926398899,1.0520521502725027,-2.276384853472248,-0.27414242443868864
Cd8b1,-0.47101276520493685,-0.3208301119118339,-0.15249112885194696,-0.07043356343577092,0.6361297199250769,-1.5671912875799792,1.9458291370593892
Lck,-0.4742113607847251,-0.67330850144984,-0.264350148182782,-0.26608328736187653,-0.4978017736335059,-0.24747564965299246,2.4232307210657167
Fyn,0.46266642280881665,0.1876431494003557,0.3061452937911617,-0.3214505870529462,-0.9641607790932053,1.8333946570100983,-1.5042381568642833
