comparison,peptide_group,reference,gene,total_counts,pct_group,pct_reference,pct_delta,detection_log2_odds_ratio,mean_norm_group,mean_norm_reference,mean_log1p_group,mean_log1p_reference,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_group_cells,n_reference_cells,is_sig_0p25,is_sig_0p5,gene_program,gene_order,peptide_order,is_sig_abs0p5_fdr0p05,plot_size,x,y,gene_centered_log2fc_z,percent_detected
multi_peptide_vs_no_interaction,multi_peptide,no_interaction,Stmn1,22170,0.6095399927175976,0.14414414414414514,0.4653958485734525,3.119386030056693,1.0459793657148846,0.384608200099215,0.5483449468629232,0.16479613130563348,0.38354881555728976,1.2416903453561114,36.303353494215926,5506.761320009467,0.7270480300228387,6.441798596253511e-259,True,1.986323484616202e-257,8239,2664,True,True,Proliferation,0,0,True,48.88687947566703,0,31,1.3934832651215014,60.95399927175976
N4_vs_no_interaction,N4,no_interaction,Stmn1,1704,0.4914163090128736,0.14414414414414514,0.3472721648687285,2.4412788742124483,0.871342109180392,0.384608200099215,0.45809932060614217,0.16479613130563348,0.2933031893005087,1.003160689068072,10.943890342517893,577.9128751258603,0.633913694361063,1.8398040753461453e-25,True,1.6631828841129154e-24,466,2664,True,True,Proliferation,0,1,True,40.381974248926895,1,31,0.7984359140199428,49.14163090128736
A2_vs_no_interaction,A2,no_interaction,Stmn1,1451,0.45479452054794395,0.14414414414414514,0.3106503764037988,2.233418042379409,0.8772718443009114,0.384608200099215,0.43536057128429895,0.16479613130563348,0.27056443997866547,1.0119411104987217,8.712074498527375,427.3045846159823,0.5845943067863402,6.617389771038711e-17,True,4.959366000628456e-16,365,2664,True,True,Proliferation,0,2,True,37.74520547945196,2,31,0.8203399681957232,45.47945205479439
Y3_vs_no_interaction,Y3,no_interaction,Stmn1,1439,0.4186046511627919,0.14414414414414514,0.27446050701864677,2.0253713966558946,0.785976707847212,0.384608200099215,0.40305482553502714,0.16479613130563348,0.23825869422939366,0.8704499541417968,8.14784714135713,462.86022659386816,0.5173157888706155,3.4845726987288367e-15,True,2.977324774230335e-14,387,2664,True,True,Proliferation,0,3,True,35.13953488372101,3,31,0.4673694440911012,41.86046511627919
Q4_vs_no_interaction,Q4,no_interaction,Stmn1,1570,0.45585215605749263,0.14414414414414514,0.3117080119133475,2.239448026490435,0.7093235427509431,0.384608200099215,0.3874337295404127,0.16479613130563348,0.22263759823477924,0.7398977462658061,9.106363922635493,632.4639663297687,0.4885451707166613,1.1053181652513001e-18,True,7.850507692157878e-18,487,2664,True,True,Proliferation,0,4,True,37.82135523613947,4,31,0.14168773773229454,45.58521560574926
Q4R7_vs_no_interaction,Q4R7,no_interaction,Stmn1,1101,0.43171806167400817,0.14414414414414514,0.28757391752986305,2.1011995698735175,0.7054244356874457,0.384608200099215,0.38337689582972023,0.16479613130563348,0.21858076452408676,0.7329304257519521,6.229270516323437,256.0615134886881,0.4838779961510672,1.9124705341997054e-09,True,1.3836850428197405e-08,227,2664,True,True,Proliferation,0,5,True,36.08370044052859,5,31,0.12430673077256484,43.17180616740082
T4_vs_no_interaction,T4,no_interaction,Stmn1,1613,0.4964200477326959,0.14414414414414514,0.35227590358855077,2.469592418247735,0.9430965229683816,0.384608200099215,0.4757744992632047,0.16479613130563348,0.3109783679575712,1.1059819417823182,10.611731021461429,500.7701288037525,0.6681083349996547,7.239121389992134e-24,True,9.58653522984314e-23,419,2664,True,True,Proliferation,0,6,True,40.7422434367541,6,31,1.0549386693447285,49.64200477326959
Q7_vs_no_interaction,Q7,no_interaction,Stmn1,1283,0.46048109965635625,0.14414414414414514,0.3163369555122111,2.265814452764073,0.9275720499398133,0.384608200099215,0.4312819585773642,0.16479613130563348,0.2664858272717307,1.0843488323571306,7.724950015890645,330.0064009648995,0.579570180496506,1.354383346781513e-13,True,1.387239408212766e-12,291,2664,True,True,Proliferation,0,7,True,38.15463917525765,7,31,1.0009716924083116,46.048109965635625
Q4H7_vs_no_interaction,Q4H7,no_interaction,Stmn1,1395,0.44417475728155326,0.14414414414414514,0.3000306131374081,2.1727377720031944,0.795181841022743,0.384608200099215,0.3997677322813253,0.16479613130563348,0.2349716009756918,0.8853619542288015,8.381419842915374,501.0609764166354,0.5107439355259737,5.315691393370447e-16,True,4.675821251813331e-15,412,2664,True,True,Proliferation,0,8,True,36.98058252427184,8,31,0.5045696241000944,44.417475728155324
V4_vs_no_interaction,V4,no_interaction,Stmn1,1244,0.43518518518518656,0.14414414414414514,0.29104104104104145,2.121155126239346,0.7880674635522994,0.384608200099215,0.39875444876624094,0.16479613130563348,0.23395831746060747,0.8738504605469335,7.48466547795328,378.4044991265836,0.5115342053457946,5.079595727929708e-13,True,4.723159631305212e-12,324,2664,True,True,Proliferation,0,9,True,36.33333333333343,9,31,0.4758525080432708,43.518518518518654
D4_vs_no_interaction,D4,no_interaction,Stmn1,1015,0.31779661016949107,0.14414414414414514,0.17365246602534593,1.4114517163143172,0.535514110212521,0.384608200099215,0.2787593935104634,0.16479613130563348,0.11396326220482994,0.39110534053115703,3.5209267066531136,272.34834993269624,0.25383579364807834,0.0005039733710676256,True,0.002347004371811221,236,2664,True,False,Proliferation,0,10,False,27.881355932203356,10,31,-0.7284262780532975,31.779661016949106
G4_vs_no_interaction,G4,no_interaction,Stmn1,981,0.37692307692307647,0.14414414414414514,0.23277893277893133,1.779512757099179,0.7610476139993281,0.384608200099215,0.37399375492058257,0.16479613130563348,0.2091976236149491,0.829274200654585,4.199854578960072,137.1308015842474,0.46277484993600293,4.780190128503585e-05,True,0.0003031792472924976,130,2664,True,True,Proliferation,0,11,True,32.138461538461506,11,31,0.36465046388769606,37.69230769230765
E1_vs_no_interaction,E1,no_interaction,Stmn1,950,0.3352601156069363,0.14414414414414514,0.19111597146279116,1.523199028462927,0.5245029885542813,0.384608200099215,0.2941456113998932,0.16479613130563348,0.12934948009425973,0.36588965888668673,3.575624357270678,193.42029742799733,0.2892581830801138,0.00044134233541731166,True,0.002536332303224236,173,2664,True,False,Proliferation,0,12,False,29.138728323699414,12,31,-0.7913305089244617,33.52601156069363
CATNB_vs_no_interaction,CATNB,no_interaction,Stmn1,941,0.3749999999999996,0.14414414414414514,0.23085585585585447,1.7679486416380135,0.5390997190601288,0.384608200099215,0.30617915746801144,0.16479613130563348,0.14138302616237797,0.3992222362208589,3.625674147973672,158.1423497178702,0.31649107281011946,0.0003882175534053626,True,0.0031186548616702193,144,2664,True,False,Proliferation,0,13,False,31.99999999999997,13,31,-0.7081774865424747,37.499999999999964
LCMV_vs_no_interaction,LCMV,no_interaction,Stmn1,853,0.25984251968503913,0.14414414414414514,0.11569837554089399,1.0147709906728544,0.4061280026316264,0.384608200099215,0.22380192796472748,0.16479613130563348,0.059005796659094,0.06268347982396492,1.5164149356561172,139.4063990733064,0.13248574143762362,0.13167877527090682,True,0.32825611196000504,127,2664,False,False,Proliferation,0,14,False,23.708661417322816,14,31,-1.547722969705215,25.984251968503912
TB_vs_no_interaction,TB,no_interaction,Stmn1,900,0.27607361963190186,0.14414414414414514,0.13192947548775671,1.1305978983214315,0.40384949932660363,0.384608200099215,0.23117269759915057,0.16479613130563348,0.0663765662935171,0.056174045724354825,1.9572869982096808,185.24613925808683,0.1492724082317708,0.0518161871854348,True,0.16313917460172156,163,2664,False,False,Proliferation,0,15,False,24.877300613496935,15,31,-1.5639617115808406,27.607361963190186
MCMV_vs_no_interaction,MCMV,no_interaction,Stmn1,825,0.22077922077922082,0.14414414414414514,0.07663507663507568,0.7159311771988993,0.37095007820249565,0.384608200099215,0.1989346367750307,0.16479613130563348,0.03413850546939723,-0.041244678037267134,0.6994893430393951,81.00097128451435,0.07662392184549931,0.48625018246527385,True,0.7146141996017009,77,2664,False,False,Proliferation,0,16,False,20.8961038961039,16,31,-1.806987062910936,22.077922077922082
multi_peptide_vs_no_interaction,multi_peptide,no_interaction,Pcna,72142,0.9257191406725818,0.45007507507506567,0.4756440655975161,3.7561627391078156,3.672095798734643,1.74025425326594,1.4107532257051394,0.6599998232216454,0.750753402483494,1.035461210421294,45.53854148335794,3564.829381529973,1.2052252118384987,0.0,True,0.0,8239,2664,True,True,Proliferation,1,0,True,71.65177812842589,0,30,1.9426633362674681,92.57191406725818
N4_vs_no_interaction,N4,no_interaction,Pcna,6308,0.8454935622317646,0.45007507507506567,0.395418487156699,2.6619770581888997,3.310647772217194,1.74025425326594,1.273810539173696,0.6599998232216454,0.6138107159520506,0.8901406654873497,17.780468018554835,712.4420312369439,0.7944935833740988,8.241313632556469e-59,True,5.180566158955364e-57,466,2664,True,True,Proliferation,1,1,True,65.87553648068706,1,30,1.0912682316203421,84.54935622317646
A2_vs_no_interaction,A2,no_interaction,Pcna,5503,0.8273972602739699,0.45007507507506567,0.3773221851989042,2.4805678899503896,3.125156603834497,1.74025425326594,1.210614699780959,0.6599998232216454,0.5506148765593136,0.8094641094067275,14.05056080657477,504.34389400086957,0.7076818037973466,4.428026288480281e-38,True,1.3359058224319261e-36,365,2664,True,True,Proliferation,1,2,True,64.57260273972582,2,30,0.6186053680310735,82.73972602739698
Y3_vs_no_interaction,Y3,no_interaction,Pcna,5457,0.8010335917312643,0.45007507507506567,0.35095851665619865,2.2398547280206387,3.133234224084944,1.74025425326594,1.206931121243648,0.6599998232216454,0.5469312980220026,0.8130729181841868,13.919058277837289,533.6856824410385,0.7011590230959174,8.549883627799459e-38,True,7.087403533570605e-36,387,2664,True,True,Proliferation,1,3,True,62.67441860465103,3,30,0.6397484357792231,80.10335917312644
Q4_vs_no_interaction,Q4,no_interaction,Pcna,6159,0.8172484599589256,0.45007507507506567,0.3671733848838599,2.3849424170397118,3.12318823417236,1.74025425326594,1.217206338461171,0.6599998232216454,0.5572065152395257,0.808583338508228,16.006034722933826,738.5863909207685,0.7190530166014185,1.0033551648350578e-49,True,3.51547302177339e-48,487,2664,True,True,Proliferation,1,4,True,63.84188911704264,4,30,0.613445161457123,81.72484599589257
