signature,comparison,peptide_group,reference,n_group,n_reference,median_group,median_reference,median_diff,median_diff_ci95_low,median_diff_ci95_high,rank_biserial,p_value,q_value_bh_all,q_value_bh_by_signature,peptide_order,signature_order,qualifying_oti_cells,geomean_dominant_peptide_umi,dc_supported_unique_dcbc,dc_supported_total_dcbc_umi,dc_supported_total_dcbc_reads,geomean_dominant_peptide_umi_per_10k_dc_dcbc_umi,cell_peptide_umi_min_exclusive,cell_peptide_fraction_min,normalization_scale
Naive_memory,multi_peptide_vs_no_interaction,multi_peptide,no_interaction,8239,2664,-0.12021915324336595,0.18465140909547212,-0.3048705623388381,-0.34023355322169585,-0.27932436785420345,-0.4322584813239019,2.3142421844662137e-247,2.16381644247591e-245,3.9342117135925634e-246,0,1,,,,,,,,,
Naive_memory,N4_vs_no_interaction,N4,no_interaction,466,2664,-0.09493047520139702,0.18465140909547212,-0.27958188429686914,-0.3317055004224264,-0.24544435262653555,-0.39029614378326827,2.657685275085728e-41,2.7610397024501734e-40,1.5060216558819128e-40,1,1,437.0,34.58774432621248,2008.0,514276.0,6798344.0,0.6725521767730263,2.0,0.9,10000.0
Naive_memory,A2_vs_no_interaction,A2,no_interaction,365,2664,-0.08824295796507556,0.18465140909547212,-0.2728943670605477,-0.326502748129701,-0.23830132897774656,-0.3744929861368218,3.2717519242807085e-31,2.780989135638602e-30,1.112395654255441e-30,2,1,336.0,42.621137383317574,1725.0,802670.0,10698955.0,0.5309920313867165,2.0,0.9,10000.0
Naive_memory,Y3_vs_no_interaction,Y3,no_interaction,387,2664,-0.06921278011189862,0.18465140909547212,-0.25386418920737075,-0.3030157053264961,-0.225205338398513,-0.33635573558054177,9.383569915699816e-27,6.157322767176173e-26,2.6586781427816145e-26,3,1,360.0,49.03513565175948,1897.0,1182892.0,16338390.0,0.4145360324675413,2.0,0.9,10000.0
Naive_memory,Q4_vs_no_interaction,Q4,no_interaction,487,2664,-0.11288452561998102,0.18465140909547212,-0.29753593471545314,-0.344936150402167,-0.2684596085441307,-0.38918641434041845,1.4141198852934024e-42,1.5555318738227427e-41,1.202001902499392e-41,4,1,459.0,41.43077604008591,2970.0,1781909.0,22820995.0,0.23250781066870366,2.0,0.9,10000.0
Naive_memory,Q4R7_vs_no_interaction,Q4R7,no_interaction,227,2664,-0.07846831573465395,0.18465140909547212,-0.2631197248301261,-0.3117248021305259,-0.2110000798219374,-0.3219497030069717,7.409048279889481e-16,2.2346645618376336e-15,1.259538207581212e-15,5,1,211.0,45.18313966821319,1394.0,953332.0,12669428.0,0.47394968036542556,2.0,0.9,10000.0
Naive_memory,T4_vs_no_interaction,T4,no_interaction,419,2664,-0.12017151268306885,0.18465140909547212,-0.304822921778541,-0.34800707029176126,-0.25405303088328907,-0.3825585728927018,1.9583545566204203e-36,1.9274331688843084e-35,8.323006865636786e-36,6,1,393.0,44.145726293275274,2799.0,2150701.0,29931294.0,0.2052620345332767,2.0,0.9,10000.0
Naive_memory,Q7_vs_no_interaction,Q7,no_interaction,291,2664,-0.08046707647133709,0.18465140909547212,-0.2651184855668092,-0.3093417274599858,-0.22541529796258966,-0.30459841284583555,1.2993390172288581e-17,4.8595279244359294e-17,2.7610954116113235e-17,7,1,273.0,41.820615006555336,2012.0,1479821.0,21051375.0,0.28260590305554073,2.0,0.9,10000.0
Naive_memory,Q4H7_vs_no_interaction,Q4H7,no_interaction,412,2664,-0.057630345524560575,0.18465140909547212,-0.2422817546200327,-0.29554358748675236,-0.19425627387752348,-0.2876769366453833,4.9335457762384305e-21,2.3655719491194528e-20,1.1981468313721902e-20,8,1,389.0,47.356237073292895,3170.0,2582963.0,37378003.0,0.18334074887364973,2.0,0.9,10000.0
Naive_memory,V4_vs_no_interaction,V4,no_interaction,324,2664,-0.03400159235883083,0.18465140909547212,-0.21865300145430294,-0.28128918641682193,-0.17896624267282077,-0.279564286508731,1.8965777740751852e-16,6.114828340552752e-16,3.5824246843642387e-16,9,1,289.0,40.91562984371842,2726.0,2099595.0,28236911.0,0.19487391541567978,2.0,0.9,10000.0
Naive_memory,D4_vs_no_interaction,D4,no_interaction,236,2664,-0.004789501017989621,0.18465140909547212,-0.18944091011346173,-0.23828327478813077,-0.1411585033588417,-0.20783548378887362,1.1618148523638135e-07,2.2169324223676848e-07,1.795532044562257e-07,10,1,214.0,27.65469800699807,2840.0,2143105.0,29107341.0,0.12904033170095758,2.0,0.9,10000.0
Naive_memory,G4_vs_no_interaction,G4,no_interaction,130,2664,-0.025209215272374477,0.18465140909547212,-0.20986062436784658,-0.27514998094890586,-0.13272346418805847,-0.2422528297528298,3.0031553821129443e-06,5.152202352799271e-06,4.254470124660004e-06,11,1,115.0,26.309955998587096,1928.0,1421061.0,21094605.0,0.18514304451805444,2.0,0.9,10000.0
Naive_memory,E1_vs_no_interaction,E1,no_interaction,173,2664,-0.003525099960190107,0.18465140909547212,-0.18817650905566222,-0.2523514578569167,-0.12469371156706788,-0.2072072072072072,4.79716635684407e-06,8.08171269125983e-06,6.273217543565323e-06,12,1,158.0,19.12199361624185,2595.0,2051751.0,29717229.0,0.0931984125570883,2.0,0.9,10000.0
Naive_memory,CATNB_vs_no_interaction,CATNB,no_interaction,144,2664,0.010800580117596981,0.18465140909547212,-0.17385082897787513,-0.23241549838864442,-0.08865923506713942,-0.20698041791791788,2.796227406601845e-05,4.507711422711595e-05,3.395418993730812e-05,13,1,132.0,16.461282417482742,2402.0,1915294.0,25356232.0,0.08594650438774801,2.0,0.9,10000.0
Naive_memory,LCMV_vs_no_interaction,LCMV,no_interaction,127,2664,0.027286390909279243,0.18465140909547212,-0.15736501818619286,-0.24053070745538474,-0.053777457538836906,-0.17118890544087395,0.001098784100319013,0.0014998001953259522,0.001098784100319013,14,1,110.0,17.893921695686604,2225.0,1899835.0,25739535.0,0.09418671461304062,2.0,0.9,10000.0
Naive_memory,TB_vs_no_interaction,TB,no_interaction,163,2664,0.02722540326003083,0.18465140909547212,-0.15742600583544128,-0.2612417791992006,-0.07979622883297216,-0.1726404318428858,0.00021116950071369486,0.0003085054424489136,0.00022436759450830077,15,1,140.0,18.30339157342121,2440.0,1899824.0,25817474.0,0.09634256422395553,2.0,0.9,10000.0
Naive_memory,MCMV_vs_no_interaction,MCMV,no_interaction,77,2664,-0.05187686191948172,0.18465140909547212,-0.23652827101495383,-0.35242583567999203,-0.12851653207262714,-0.250014625014625,0.0001801126897484123,0.00026520529907837087,0.00020412771504820057,16,1,64.0,22.55221657585756,1276.0,1278349.0,17309644.0,0.17641674203099122,2.0,0.9,10000.0
Cytotoxic_effector,multi_peptide_vs_no_interaction,multi_peptide,no_interaction,8239,2664,0.004989412724800762,-0.16674612181436083,0.1717355345391616,0.15771217192089806,0.18556784382445266,0.3769128243427309,1.408365614397262e-188,6.5841092473072e-187,2.394221544475345e-187,0,3,,,,,,,,,
Cytotoxic_effector,N4_vs_no_interaction,N4,no_interaction,466,2664,-0.04821019577803391,-0.16674612181436083,0.11853592603632691,0.08403683654800105,0.14740925979730257,0.2573770122053385,6.8914359391878995e-19,2.9288602741548574e-18,2.343088219323886e-18,1,3,437.0,34.58774432621248,2008.0,514276.0,6798344.0,0.6725521767730263,2.0,0.9,10000.0
Cytotoxic_effector,A2_vs_no_interaction,A2,no_interaction,365,2664,-0.041360973871277164,-0.16674612181436083,0.12538514794308367,0.08893902927964463,0.156612622229186,0.27073923238306796,4.447298923645425e-17,1.5400831457809157e-16,1.0800583100281745e-16,2,3,336.0,42.621137383317574,1725.0,802670.0,10698955.0,0.5309920313867165,2.0,0.9,10000.0
Cytotoxic_effector,Y3_vs_no_interaction,Y3,no_interaction,387,2664,-0.04889789344794031,-0.16674612181436083,0.11784822836642052,0.07841249541207924,0.15086803680909805,0.2534841042592981,7.06490512649443e-16,2.1657987846794397e-15,1.5012923393800663e-15,3,3,360.0,49.03513565175948,1897.0,1182892.0,16338390.0,0.4145360324675413,2.0,0.9,10000.0
Cytotoxic_effector,Q4_vs_no_interaction,Q4,no_interaction,487,2664,-0.033583592776073354,-0.16674612181436083,0.13316252903828746,0.09630337971486755,0.16141891319024276,0.27492199591788924,4.428703705959774e-22,2.238290791931021e-21,2.5095987667105387e-21,4,3,459.0,41.43077604008591,2970.0,1781909.0,22820995.0,0.23250781066870366,2.0,0.9,10000.0
Cytotoxic_effector,Q4R7_vs_no_interaction,Q4R7,no_interaction,227,2664,-0.04962547053356634,-0.16674612181436083,0.11712065128079449,0.06773276155533961,0.19721863467898654,0.26638091836329725,2.5269172883382418e-11,5.981437125560141e-11,4.295759390175011e-11,5,3,211.0,45.18313966821319,1394.0,953332.0,12669428.0,0.47394968036542556,2.0,0.9,10000.0
Cytotoxic_effector,T4_vs_no_interaction,T4,no_interaction,419,2664,-0.01450593619558751,-0.16674612181436083,0.1522401856187733,0.11698681043963735,0.18177223525107672,0.3229213700574083,1.92488135876783e-26,1.1611381099664006e-25,1.6361491549526554e-25,6,3,393.0,44.145726293275274,2799.0,2150701.0,29931294.0,0.2052620345332767,2.0,0.9,10000.0
Cytotoxic_effector,Q7_vs_no_interaction,Q7,no_interaction,291,2664,-0.024111741449886738,-0.16674612181436083,0.1426343803644741,0.1057389649874476,0.16785642674710316,0.2782215204895617,6.002261080089376e-15,1.7268043415026356e-14,1.1337604262391043e-14,7,3,273.0,41.820615006555336,2012.0,1479821.0,21051375.0,0.28260590305554073,2.0,0.9,10000.0
Cytotoxic_effector,Q4H7_vs_no_interaction,Q4H7,no_interaction,412,2664,-0.04715848950220644,-0.16674612181436083,0.11958763231215438,0.08601206085069169,0.1586486723792277,0.27543077057640164,2.0607202976477975e-19,9.17511180143186e-19,8.75806126500314e-19,8,3,389.0,47.356237073292895,3170.0,2582963.0,37378003.0,0.18334074887364973,2.0,0.9,10000.0
Cytotoxic_effector,V4_vs_no_interaction,V4,no_interaction,324,2664,-0.06248432558250382,-0.16674612181436083,0.104261796231857,0.07680485187474773,0.14564661421705602,0.2854162032402774,4.438641868758987e-17,1.5400831457809157e-16,1.0800583100281745e-16,9,3,289.0,40.91562984371842,2726.0,2099595.0,28236911.0,0.19487391541567978,2.0,0.9,10000.0
Cytotoxic_effector,D4_vs_no_interaction,D4,no_interaction,236,2664,-0.07467504649454604,-0.16674612181436083,0.09207107531981479,0.05779968467043825,0.13965030406739465,0.20702747238764196,1.3003010016993328e-07,2.4561241143209623e-07,1.8420930857407217e-07,10,3,214.0,27.65469800699807,2840.0,2143105.0,29107341.0,0.12904033170095758,2.0,0.9,10000.0
Cytotoxic_effector,G4_vs_no_interaction,G4,no_interaction,130,2664,-0.004135512658087711,-0.16674612181436083,0.16261060915627312,0.08729887419855253,0.22008115155205749,0.33464714714714705,1.1039984477426866e-10,2.548737157134351e-10,1.7061794192386978e-10,11,3,115.0,26.309955998587096,1928.0,1421061.0,21094605.0,0.18514304451805444,2.0,0.9,10000.0
Cytotoxic_effector,E1_vs_no_interaction,E1,no_interaction,173,2664,-0.05211851136411422,-0.16674612181436083,0.11462761045024661,0.06341358796402195,0.1587439623769331,0.22907011057300064,4.2806748995394835e-07,7.771710739940615e-07,5.597805637859325e-07,12,3,158.0,19.12199361624185,2595.0,2051751.0,29717229.0,0.0931984125570883,2.0,0.9,10000.0
Cytotoxic_effector,CATNB_vs_no_interaction,CATNB,no_interaction,144,2664,-0.08326040560903658,-0.16674612181436083,0.08348571620532425,0.015637809845021732,0.1203237430738576,0.16361413496830157,0.0009273855884164133,0.0012751551840725682,0.0009273855884164133,13,3,132.0,16.461282417482742,2402.0,1915294.0,25356232.0,0.08594650438774801,2.0,0.9,10000.0
Cytotoxic_effector,LCMV_vs_no_interaction,LCMV,no_interaction,127,2664,-0.07674610799046709,-0.16674612181436083,0.09000001382389373,0.022322525482444046,0.15553929306915473,0.2030100967108841,0.00010854469505953607,0.00016369240303333262,0.0001318042725722938,14,3,110.0,17.893921695686604,2225.0,1899835.0,25739535.0,0.09418671461304062,2.0,0.9,10000.0
Cytotoxic_effector,TB_vs_no_interaction,TB,no_interaction,163,2664,-0.08636849949022288,-0.16674612181436083,0.08037762232413795,0.044991774266690876,0.11923161860383312,0.1786625582637853,0.00012581102141387716,0.00018781920941337036,0.00014258582426906078,15,3,140.0,18.30339157342121,2440.0,1899824.0,25817474.0,0.09634256422395553,2.0,0.9,10000.0
Cytotoxic_effector,MCMV_vs_no_interaction,MCMV,no_interaction,77,2664,-0.04411408113654872,-0.16674612181436083,0.12263204067781211,0.06328931631195912,0.20287171595105782,0.23163585663585673,0.0005203411149199876,0.0007261476752987887,0.0005528624346024868,16,3,64.0,22.55221657585756,1276.0,1278349.0,17309644.0,0.17641674203099122,2.0,0.9,10000.0
Proliferation,multi_peptide_vs_no_interaction,multi_peptide,no_interaction,8239,2664,0.07327052712241744,-0.5227707391060743,0.5960412662284917,0.5772272836165233,0.6164793226353442,0.6176057566244482,0.0,0.0,0.0,0,0,,,,,,,,,
Proliferation,N4_vs_no_interaction,N4,no_interaction,466,2664,-0.013689408538436736,-0.5227707391060743,0.5090813305676376,0.4607408281924252,0.5538993643704989,0.5207471419917773,3.866110864882892e-72,7.229627317331009e-71,3.2861942351504584e-71,1,0,437.0,34.58774432621248,2008.0,514276.0,6798344.0,0.6725521767730263,2.0,0.9,10000.0
Proliferation,A2_vs_no_interaction,A2,no_interaction,365,2664,-0.12166021891947902,-0.5227707391060743,0.40111052018659527,0.3547309412884666,0.4996381469134985,0.4611409354560039,1.8970613270938004e-46,2.5746094151673645e-45,5.461292698839864e-46,2,0,336.0,42.621137383317574,1725.0,802670.0,10698955.0,0.5309920313867165,2.0,0.9,10000.0
Proliferation,Y3_vs_no_interaction,Y3,no_interaction,387,2664,-0.09172990641086556,-0.5227707391060743,0.43104083269520876,0.36390622892652846,0.5316042065132625,0.4494310201674543,1.9275150701787755e-46,2.5746094151673645e-45,5.461292698839864e-46,3,0,360.0,49.03513565175948,1897.0,1182892.0,16338390.0,0.4145360324675413,2.0,0.9,10000.0
Proliferation,Q4_vs_no_interaction,Q4,no_interaction,487,2664,-0.08290996795688596,-0.5227707391060743,0.4398607711491883,0.35956499497364025,0.5099287133440661,0.4555307360748839,1.105078293876326e-57,1.722080341290608e-56,4.696582748974386e-57,4,0,459.0,41.43077604008591,2970.0,1781909.0,22820995.0,0.23250781066870366,2.0,0.9,10000.0
Proliferation,Q4R7_vs_no_interaction,Q4R7,no_interaction,227,2664,-0.11122301328238468,-0.5227707391060743,0.4115477258236896,0.29086119855117787,0.4540947748479856,0.3944500668068951,5.039157600322362e-23,2.6272339397433244e-22,8.566567920548015e-23,5,0,211.0,45.18313966821319,1394.0,953332.0,12669428.0,0.47394968036542556,2.0,0.9,10000.0
Proliferation,T4_vs_no_interaction,T4,no_interaction,419,2664,-0.028911220596560632,-0.5227707391060743,0.49385951850951365,0.4303367807831993,0.5395149559776815,0.49082166892429413,7.522678024311632e-59,1.2788552641329774e-57,4.262850880443258e-58,6,0,393.0,44.145726293275274,2799.0,2150701.0,29931294.0,0.2052620345332767,2.0,0.9,10000.0
Proliferation,Q7_vs_no_interaction,Q7,no_interaction,291,2664,-0.1359134748746058,-0.5227707391060743,0.3868572642314685,0.31665173888703374,0.46253644748402695,0.3898292622519426,7.763059126917097e-28,5.3766372471611e-27,1.649650064469883e-27,7,0,273.0,41.820615006555336,2012.0,1479821.0,21051375.0,0.28260590305554073,2.0,0.9,10000.0
Proliferation,Q4H7_vs_no_interaction,Q4H7,no_interaction,412,2664,-0.1330656209675048,-0.5227707391060743,0.3897051181385695,0.34443041120193035,0.463068632518007,0.4182656564331322,1.2633837578164493e-42,1.476579766947975e-41,3.068217697554234e-42,8,0,389.0,47.356237073292895,3170.0,2582963.0,37378003.0,0.18334074887364973,2.0,0.9,10000.0
Proliferation,V4_vs_no_interaction,V4,no_interaction,324,2664,-0.19296582557476072,-0.5227707391060743,0.3298049135313136,0.25929913269802585,0.4033225644726165,0.3524763189115041,3.192332972380525e-25,1.808988684348964e-24,6.029962281163213e-25,9,0,289.0,40.91562984371842,2726.0,2099595.0,28236911.0,0.19487391541567978,2.0,0.9,10000.0
Proliferation,D4_vs_no_interaction,D4,no_interaction,236,2664,-0.36284030999116984,-0.5227707391060743,0.15993042911490446,0.0841074064892767,0.22631637436412247,0.1992320710541049,3.759951319378653e-07,6.893244085527531e-07,4.916859417649007e-07,10,0,214.0,27.65469800699807,2840.0,2143105.0,29107341.0,0.12904033170095758,2.0,0.9,10000.0
Proliferation,G4_vs_no_interaction,G4,no_interaction,130,2664,-0.21488595162631038,-0.5227707391060743,0.3078847874797639,0.21754590264990992,0.40554307628508274,0.36030261030261035,3.714372954031797e-12,9.139312400051921e-12,5.740394565321868e-12,11,0,115.0,26.309955998587096,1928.0,1421061.0,21094605.0,0.18514304451805444,2.0,0.9,10000.0
Proliferation,E1_vs_no_interaction,E1,no_interaction,173,2664,-0.30364283177945117,-0.5227707391060743,0.21912790732662313,0.11674292615865785,0.3018306166755718,0.26494992101928516,4.950409188092382e-09,1.0062244762752995e-08,7.013079683130874e-09,12,0,158.0,19.12199361624185,2595.0,2051751.0,29717229.0,0.0931984125570883,2.0,0.9,10000.0
Proliferation,CATNB_vs_no_interaction,CATNB,no_interaction,144,2664,-0.37247328763986365,-0.5227707391060743,0.15029745146621065,0.04113694334458755,0.3266923317047066,0.19243462212212203,9.795136205001022e-05,0.0001526408725279326,0.00010407332217813586,13,0,132.0,16.461282417482742,2402.0,1915294.0,25356232.0,0.08594650438774801,2.0,0.9,10000.0
Proliferation,LCMV_vs_no_interaction,LCMV,no_interaction,127,2664,-0.3503408471128616,-0.5227707391060743,0.17242989199321268,0.0717158619647471,0.24902620062930844,0.18276347213355093,0.0004918258710014322,0.0006915145705057731,0.0004918258710014322,14,0,110.0,17.893921695686604,2225.0,1899835.0,25739535.0,0.09418671461304062,2.0,0.9,10000.0
Proliferation,TB_vs_no_interaction,TB,no_interaction,163,2664,-0.39418903976403924,-0.5227707391060743,0.12858169934203506,0.05559939264600026,0.2684743948763744,0.18958989664511128,4.708459950989189e-05,7.399008494411583e-05,5.3362546111210807e-05,15,0,140.0,18.30339157342121,2440.0,1899824.0,25817474.0,0.09634256422395553,2.0,0.9,10000.0
Proliferation,MCMV_vs_no_interaction,MCMV,no_interaction,77,2664,-0.3015306176631275,-0.5227707391060743,0.2212401214429468,0.12448923262910361,0.31178465357056634,0.2756522756522757,3.625804087369112e-05,5.795088584085675e-05,4.402762106091064e-05,16,0,64.0,22.55221657585756,1276.0,1278349.0,17309644.0,0.17641674203099122,2.0,0.9,10000.0
IFN_stress,multi_peptide_vs_no_interaction,multi_peptide,no_interaction,8239,2664,-0.15295771442487435,-0.01238290746554098,-0.1405748069593334,-0.16080515562442915,-0.1132715672817603,-0.2610111325064596,1.8190553053154411e-91,3.7795926899331945e-90,3.09239401903625e-90,0,2,,,,,,,,,
IFN_stress,N4_vs_no_interaction,N4,no_interaction,466,2664,-0.16167781204582238,-0.01238290746554098,-0.14929490458028138,-0.17351927362185393,-0.11391193501564643,-0.25923616749797007,3.865772901861597e-19,1.681161703832834e-18,3.2859069665823576e-18,1,2,437.0,34.58774432621248,2008.0,514276.0,6798344.0,0.6725521767730263,2.0,0.9,10000.0
IFN_stress,A2_vs_no_interaction,A2,no_interaction,365,2664,-0.1650465812244944,-0.01238290746554098,-0.1526636737589534,-0.17681567698157605,-0.11985819928375617,-0.2731313505286108,2.3574776989570084e-17,8.477852494326164e-17,1.3359040294089714e-16,2,2,336.0,42.621137383317574,1725.0,802670.0,10698955.0,0.5309920313867165,2.0,0.9,10000.0
IFN_stress,Y3_vs_no_interaction,Y3,no_interaction,387,2664,-0.15109547640678275,-0.01238290746554098,-0.1387125689412418,-0.16428339570834458,-0.10485004707604,-0.22787322205926852,4.043981011089878e-13,1.0651048578504327e-12,1.1457946198087988e-12,3,2,360.0,49.03513565175948,1897.0,1182892.0,16338390.0,0.4145360324675413,2.0,0.9,10000.0
