t_cell_type,unique_dcbc,fraction_t_cells,n_t_cells
OTI,0,0.17376557302198162,2664
OTI,1,0.1800273954732242,2760
OTI,2,0.17807057595721087,2730
OTI,3,0.15419737786184853,2364
OTI,4,0.11616985193398996,1781
OTI,5,0.0778814167373296,1194
OTI,6,0.04911616985193399,753
OTI,7,0.026547518100580522,407
OTI,8,0.016567738568912662,254
OTI,9,0.01121909855847629,172
OTI,10,0.0066531863544452416,102
OTI,11,0.004305002935229274,66
OTI,12,0.0022177287848150805,34
OTI,13,0.0010436370752070967,16
OTI,14,0.0006522731720044354,10
OTI,15,0.00045659122040310484,7
OTI,16,0.0005218185376035483,8
OTI,17,0.00013045463440088708,2
OTI,18,0.00013045463440088708,2
OTI,19,0.00013045463440088708,2
OTI,20,0.0,0
OTI,21,0.00013045463440088708,2
OTI,22,6.522731720044354e-05,1
C57BL6,0,0.6007398975526466,4222
C57BL6,1,0.25668753557199775,1804
C57BL6,2,0.07512805919180421,528
C57BL6,3,0.030734206033010813,216
C57BL6,4,0.013659647125782584,96
C57BL6,5,0.009248719408081958,65
C57BL6,6,0.006829823562891292,48
C57BL6,7,0.0025611838360842347,18
C57BL6,8,0.0021343198634035288,15
C57BL6,9,0.00099601593625498,7
C57BL6,10,0.00042686397268070576,3
C57BL6,11,0.0001422879908935686,1
C57BL6,12,0.0002845759817871372,2
C57BL6,13,0.0001422879908935686,1
C57BL6,14,0.0001422879908935686,1
C57BL6,15,0.0001422879908935686,1
C57BL6,16,0.0,0
C57BL6,17,0.0,0
C57BL6,18,0.0,0
C57BL6,19,0.0,0
C57BL6,20,0.0,0
C57BL6,21,0.0,0
C57BL6,22,0.0,0
