Gene,GeneID,Transcript,MLE_sgRNA,MLE_beta,MLE_z,MLE_p-value,MLE_fdr,MLE_S_sgRNA,MLE_B_beta,MLE_B_z,MLE_B_p-value,MLE_B_fdr,MLE_C_beta,MLE_C_z,MLE_C_p-value,MLE_C_fdr,B_lfc,B_neg_p-value,B_neg_fdr,B_neg_rank,B_neg_goodsgrna,B_pos_p-value,B_pos_fdr,B_pos_rank,B_pos_goodsgrna,C_lfc,C_neg_p-value,C_neg_fdr,C_neg_rank,C_neg_goodsgrna,C_pos_p-value,C_pos_fdr,C_pos_rank,C_pos_goodsgrna,DepMap,Surfaceome,Gene_clean,Category
PREB,10113,P1P2,3,-2.0983,-4.4009,0,0,3,-2.2123,-4.0089,0,0,-1.9717,-3.5714,0,0,-3.0328,6.5995e-7,4.13e-4,33,3,1,1,22472,0,-3.0883,9.0193e-6,0.003327,61,3,1,1,22445,0,-1.274813551853624,nonsurface,PREB,neg_sig
SNRPD2,6633,P1P2,3,-1.8009,-3.9692,0,0,3,-1.8794,-3.3762,0,0,-1.691,-3.0374,0,0,-3.106,2.0458e-5,0.005755,80,3,0.99999,1,22429,0,-2.6301,8.4693e-5,0.017813,107,3,0.99998,1,22405,0,-2.6352133910696165,NA,SNRPD2,neg_sig
SNRPF,6636,P1P2,3,-1.936,-4.1647,0,0,3,-1.9019,-3.1366,0,0,-1.9213,-3.1529,0,0,-2.9419,3.5857e-5,0.008406,96,3,0.99999,1,22414,0,-2.7176,1.6433e-4,0.029584,125,3,0.99995,1,22389,0,-4.0152313364791095,NA,SNRPF,neg_sig
GOSR2,9570,P1P2,3,-1.9142,-4.1427,0,0,3,-1.9956,-3.6984,0,0,-1.8256,-3.3754,0,0,-2.9273,6.5995e-7,4.13e-4,35,3,1,1,22470,0,-2.5649,1.0999e-6,6.69e-4,35,3,1,1,22470,0,-0.92752568870319,nonsurface,GOSR2,neg_sig
TRAPPC8,22878,P1P2,3,-1.8057,-3.8831,0,0,3,-1.5722,-2.9781,0,0,-2.1105,-3.9929,0,0,-2.3243,6.5995e-7,4.13e-4,30,3,1,1,22475,0,-3.0698,2.1998e-7,1.98e-4,18,3,1,1,22487,0,-1.2870690582736963,NA,TRAPPC8,neg_sig
BET1,10282,P1P2,3,-1.7283,-3.9885,0,0,3,-1.7242,-3.225,0,0,-1.7149,-3.2019,0,0,-2.6354,1.9798e-6,0.001061,42,3,1,1,22463,0,-2.4826,1.0999e-6,6.69e-4,37,3,1,1,22468,0,-0.252484052541733,nonsurface,BET1,neg_sig
TRAPPC4,51399,P1P2,3,-1.7401,-3.9874,0,0,3,-1.8832,-3.5762,0,0,-1.5819,-3.0039,0,0,-2.667,2.1998e-7,1.77e-4,9,3,1,1,22496,0,-2.3355,2.1998e-7,1.98e-4,14,3,1,1,22491,0,-0.6787184363073011,NA,TRAPPC4,neg_sig
USP30,84749,P1P2,3,-1.5705,-3.7574,0,0,3,-1.5257,-3.1263,0,0,-1.6098,-3.297,0,0,-2.2113,2.1998e-7,1.77e-4,5,3,1,1,22500,0,-2.4955,2.1998e-7,1.98e-4,4,3,1,1,22501,0,-0.1995648398066726,nonsurface,USP30,neg_sig
TRAPPC3,27095,P1P2,3,-1.6229,-3.8459,0,0,3,-1.6742,-3.4871,0,0,-1.5652,-3.2571,0,0,-2.4077,6.5995e-7,4.13e-4,34,3,1,1,22471,0,-2.2525,9.0193e-6,0.003327,60,3,1,1,22446,0,-1.860646816417929,NA,TRAPPC3,neg_sig
USO1,8615,P1P2,3,-1.4649,-3.4517,0,0,3,-1.5593,-3.1425,0,0,-1.3782,-2.7758,0,0,-2.4863,1.6499e-5,0.005016,73,3,0.99968,1,22313,0,-1.9604,3.1898e-5,0.009086,79,3,0.9999,1,22369,0,NA,NA,USO1,neg_sig
CNTROB,116840,P1P2,3,-1.5462,-3.7495,0,0,3,-1.6098,-3.2165,0,0,-1.4823,-2.961,0,0,-2.2783,2.1998e-7,1.77e-4,14,3,1,1,22491,0,-2.0645,2.1998e-7,1.98e-4,20,3,1,1,22485,0,0.1077502878003994,NA,CNTROB,neg_sig
SEC23B,10483,P1P2,3,-1.4508,-3.6567,0,0,3,-1.4383,-3.0102,0,0,-1.46,-3.0547,0,0,-2.087,2.1998e-7,1.77e-4,16,3,1,1,22489,0,-2.1941,2.1998e-7,1.98e-4,17,3,1,1,22488,0,-0.0641840278074739,NA,SEC23B,neg_sig
KIAA0947,23379,P1P2,3,-1.5291,-3.7613,0,0,3,-1.53,-3.1586,0,0,-1.5136,-3.1233,0,0,-2.0595,6.5995e-7,4.13e-4,36,3,1,1,22469,0,-2.1772,8.7993e-7,6.19e-4,32,3,1,1,22473,0,-0.6017814694095931,NA,KIAA0947,neg_sig
KCTD3,51133,P1P2,3,-1.2419,-3.0807,0,0,3,-1.2465,-2.5833,0,0,-1.2183,-2.5241,4.4789e-5,0.010417,-1.9399,5.9395e-6,0.002621,51,3,1,1,22454,0,-2.2436,1.1769e-4,0.023438,113,3,0.99997,1,22400,0,0.2486254738141265,NA,KCTD3,neg_sig
TMC7,79905,P1P2,3,-1.2006,-2.479,4.4789e-5,0.006135,3,-1.2266,-2.1023,0,0,-1.1881,-2.0156,4.4789e-5,0.010417,-1.9663,1.2979e-5,0.004359,67,3,0.95383,1,20649,0,-2.1459,9.8992e-6,0.003481,64,3,0.99918,1,22261,0,-0.0165159342823684,surface,TMC7,neg_sig
C9orf170,401535,P1P2,3,-1.3788,-3.5577,0,0,3,-1.3197,-2.9207,0,0,-1.4374,-3.1811,0,0,-1.919,2.1998e-7,1.77e-4,3,3,1,1,22502,0,-2.154,2.1998e-7,1.98e-4,3,3,1,1,22502,0,NA,NA,C9orf170,neg_sig
ZKSCAN1,7586,P1P2,3,-1.376,-3.4448,0,0,3,-1.2997,-2.9428,0,0,-1.4664,-3.319,0,0,-1.9345,5.4996e-6,0.002475,50,3,1,1,22455,0,-2.1215,6.5995e-7,4.79e-4,29,3,1,1,22476,0,0.0287309697923731,NA,ZKSCAN1,neg_sig
TRAPPC1,58485,P1P2,3,-1.3897,-3.4221,0,0,3,-1.469,-2.9524,0,0,-1.334,-2.681,4.4789e-5,0.010417,-2.0653,6.5995e-7,4.13e-4,32,3,1,1,22473,0,-1.9763,2.8598e-6,0.00143,45,3,1,1,22460,0,-1.0177298495039406,NA,TRAPPC1,neg_sig
