ID,gene,UMI_count
00001_1,A1BG_P1,383
00001_2,A1BG_P1,139
00001_3,A1BG_P1,154
00002_1,A1BG_P2,45
00002_2,A1BG_P2,117
00002_3,A1BG_P2,244
00003_1,A1CF_P1P2,289
00003_2,A1CF_P1P2,240
00003_3,A1CF_P1P2,78
00004_1,A2M_P1P2,78
00004_2,A2M_P1P2,48
00004_3,A2M_P1P2,118
00005_1,A2ML1_P1P2,47
00005_2,A2ML1_P1P2,146
00005_3,A2ML1_P1P2,243
00006_1,A3GALT2_ENST00000442999.3,168
00006_2,A3GALT2_ENST00000442999.3,122
00006_3,A3GALT2_ENST00000442999.3,64
00007_1,A4GALT_P1P2,88
00007_2,A4GALT_P1P2,72
00007_3,A4GALT_P1P2,316
00008_1,A4GNT_P1P2,120
00008_2,A4GNT_P1P2,63
00008_3,A4GNT_P1P2,74
00009_1,AAAS_P1P2,246
00009_2,AAAS_P1P2,196
00009_3,AAAS_P1P2,121
00010_1,AACS_P1P2,61
00010_2,AACS_P1P2,19
00010_3,AACS_P1P2,88
00011_1,AADAC_P1P2,59
00011_2,AADAC_P1P2,169
00011_3,AADAC_P1P2,188
00012_1,AADACL2_P1P2,315
00012_2,AADACL2_P1P2,265
00012_3,AADACL2_P1P2,154
00013_1,AADACL3_P1P2,73
00013_2,AADACL3_P1P2,37
00013_3,AADACL3_P1P2,44
00014_1,AADACL4_P1P2,118
00014_2,AADACL4_P1P2,116
00014_3,AADACL4_P1P2,107
00015_1,AADAT_P1P2,54
00015_2,AADAT_P1P2,40
00015_3,AADAT_P1P2,44
00016_1,AAED1_P1P2,145
00016_2,AAED1_P1P2,209
00016_3,AAED1_P1P2,81
00017_1,AAGAB_P1P2,81
00017_2,AAGAB_P1P2,226
00017_3,AAGAB_P1P2,110
00018_1,AAK1_P1P2,18
00018_2,AAK1_P1P2,44
00018_3,AAK1_P1P2,61
00019_1,AAMDC_P1P2,56
00019_2,AAMDC_P1P2,44
00019_3,AAMDC_P1P2,22
00020_1,AAMP_P1P2,29
00020_2,AAMP_P1P2,62
00020_3,AAMP_P1P2,45
00021_1,AANAT_P1P2,65
00021_2,AANAT_P1P2,88
00021_3,AANAT_P1P2,35
00022_1,AAR2_P1P2,61
00022_2,AAR2_P1P2,19
00022_3,AAR2_P1P2,47
00023_1,AARD_P1P2,67
00023_2,AARD_P1P2,129
00023_3,AARD_P1P2,182
00024_1,AARS_P1P2,58
00024_2,AARS_P1P2,50
00024_3,AARS_P1P2,60
00025_1,AARS2_P1P2,127
00025_2,AARS2_P1P2,70
00025_3,AARS2_P1P2,184
00026_1,AARSD1_P1,170
00026_2,AARSD1_P1,147
00026_3,AARSD1_P1,357
00027_1,AARSD1_P2,55
00027_2,AARSD1_P2,46
00027_3,AARSD1_P2,122
00028_1,AASDH_P1P2,55
00028_2,AASDH_P1P2,95
00028_3,AASDH_P1P2,43
00029_1,AASDHPPT_P1P2,84
00029_2,AASDHPPT_P1P2,190
00029_3,AASDHPPT_P1P2,108
00030_1,AASS_P1P2,64
00030_2,AASS_P1P2,165
00030_3,AASS_P1P2,146
00031_1,AATF_P1P2,34
00031_2,AATF_P1P2,27
00031_3,AATF_P1P2,61
00032_1,AATK_ENST00000326724.4,50
00032_2,AATK_ENST00000326724.4,142
00032_3,AATK_ENST00000326724.4,86
00033_1,ABAT_P1,210
00033_2,ABAT_P1,86
00033_3,ABAT_P1,196
00034_1,ABAT_P2,43
00034_2,ABAT_P2,81
00034_3,ABAT_P2,48
00035_1,ABCA1_P1P2,53
00035_2,ABCA1_P1P2,7
00035_3,ABCA1_P1P2,44
00036_1,ABCA10_P1P2,234
00036_2,ABCA10_P1P2,312
00036_3,ABCA10_P1P2,249
00037_1,ABCA12_P1P2,245
00037_2,ABCA12_P1P2,73
00037_3,ABCA12_P1P2,228
00038_1,ABCA13_P1P2,52
00038_2,ABCA13_P1P2,63
00038_3,ABCA13_P1P2,18
00039_1,ABCA2_P1P2,102
00039_2,ABCA2_P1P2,88
00039_3,ABCA2_P1P2,51
00040_1,ABCA3_P1P2,125
00040_2,ABCA3_P1P2,115
00040_3,ABCA3_P1P2,41
00041_1,ABCA4_P1P2,132
00041_2,ABCA4_P1P2,121
00041_3,ABCA4_P1P2,192
00042_1,ABCA5_P1P2,32
00042_2,ABCA5_P1P2,144
00042_3,ABCA5_P1P2,159
00043_1,ABCA6_P1P2,274
00043_2,ABCA6_P1P2,43
00043_3,ABCA6_P1P2,85
00044_1,ABCA7_P1,53
00044_2,ABCA7_P1,226
00044_3,ABCA7_P1,102
00045_1,ABCA7_P2,14
00045_2,ABCA7_P2,132
00045_3,ABCA7_P2,21
00046_1,ABCA8_P1P2,182
00046_2,ABCA8_P1P2,270
