ID,gene,UMI_count
00001_1,A1BG_P1,303
00001_2,A1BG_P1,101
00001_3,A1BG_P1,116
00002_1,A1BG_P2,34
00002_2,A1BG_P2,66
00002_3,A1BG_P2,189
00003_1,A1CF_P1P2,243
00003_2,A1CF_P1P2,165
00003_3,A1CF_P1P2,73
00004_1,A2M_P1P2,68
00004_2,A2M_P1P2,37
00004_3,A2M_P1P2,86
00005_1,A2ML1_P1P2,32
00005_2,A2ML1_P1P2,110
00005_3,A2ML1_P1P2,183
00006_1,A3GALT2_ENST00000442999.3,110
00006_2,A3GALT2_ENST00000442999.3,73
00006_3,A3GALT2_ENST00000442999.3,36
00007_1,A4GALT_P1P2,53
00007_2,A4GALT_P1P2,57
00007_3,A4GALT_P1P2,213
00008_1,A4GNT_P1P2,85
00008_2,A4GNT_P1P2,42
00008_3,A4GNT_P1P2,65
00009_1,AAAS_P1P2,157
00009_2,AAAS_P1P2,131
00009_3,AAAS_P1P2,74
00010_1,AACS_P1P2,43
00010_2,AACS_P1P2,16
00010_3,AACS_P1P2,53
00011_1,AADAC_P1P2,38
00011_2,AADAC_P1P2,103
00011_3,AADAC_P1P2,116
00012_1,AADACL2_P1P2,233
00012_2,AADACL2_P1P2,161
00012_3,AADACL2_P1P2,44
00013_1,AADACL3_P1P2,64
00013_2,AADACL3_P1P2,32
00013_3,AADACL3_P1P2,24
00014_1,AADACL4_P1P2,65
00014_2,AADACL4_P1P2,82
00014_3,AADACL4_P1P2,73
00015_1,AADAT_P1P2,24
00015_2,AADAT_P1P2,31
00015_3,AADAT_P1P2,16
00016_1,AAED1_P1P2,70
00016_2,AAED1_P1P2,157
00016_3,AAED1_P1P2,57
00017_1,AAGAB_P1P2,56
00017_2,AAGAB_P1P2,159
00017_3,AAGAB_P1P2,81
00018_1,AAK1_P1P2,15
00018_2,AAK1_P1P2,35
00018_3,AAK1_P1P2,41
00019_1,AAMDC_P1P2,33
00019_2,AAMDC_P1P2,24
00019_3,AAMDC_P1P2,15
00020_1,AAMP_P1P2,12
00020_2,AAMP_P1P2,40
00020_3,AAMP_P1P2,30
00021_1,AANAT_P1P2,39
00021_2,AANAT_P1P2,48
00021_3,AANAT_P1P2,22
00022_1,AAR2_P1P2,33
00022_2,AAR2_P1P2,9
00022_3,AAR2_P1P2,25
00023_1,AARD_P1P2,39
00023_2,AARD_P1P2,95
00023_3,AARD_P1P2,120
00024_1,AARS_P1P2,30
00024_2,AARS_P1P2,20
00024_3,AARS_P1P2,36
00025_1,AARS2_P1P2,96
00025_2,AARS2_P1P2,56
00025_3,AARS2_P1P2,140
00026_1,AARSD1_P1,123
00026_2,AARSD1_P1,89
00026_3,AARSD1_P1,200
00027_1,AARSD1_P2,45
00027_2,AARSD1_P2,32
00027_3,AARSD1_P2,83
00028_1,AASDH_P1P2,44
00028_2,AASDH_P1P2,73
00028_3,AASDH_P1P2,35
00029_1,AASDHPPT_P1P2,47
00029_2,AASDHPPT_P1P2,120
00029_3,AASDHPPT_P1P2,79
00030_1,AASS_P1P2,63
00030_2,AASS_P1P2,106
00030_3,AASS_P1P2,81
00031_1,AATF_P1P2,15
00031_2,AATF_P1P2,16
00031_3,AATF_P1P2,47
00032_1,AATK_ENST00000326724.4,41
00032_2,AATK_ENST00000326724.4,91
00032_3,AATK_ENST00000326724.4,73
00033_1,ABAT_P1,145
00033_2,ABAT_P1,63
00033_3,ABAT_P1,151
00034_1,ABAT_P2,22
00034_2,ABAT_P2,60
00034_3,ABAT_P2,44
00035_1,ABCA1_P1P2,27
00035_2,ABCA1_P1P2,4
00035_3,ABCA1_P1P2,23
00036_1,ABCA10_P1P2,164
00036_2,ABCA10_P1P2,201
00036_3,ABCA10_P1P2,195
00037_1,ABCA12_P1P2,157
00037_2,ABCA12_P1P2,56
00037_3,ABCA12_P1P2,150
00038_1,ABCA13_P1P2,34
00038_2,ABCA13_P1P2,44
00038_3,ABCA13_P1P2,10
00039_1,ABCA2_P1P2,69
00039_2,ABCA2_P1P2,71
00039_3,ABCA2_P1P2,34
00040_1,ABCA3_P1P2,107
00040_2,ABCA3_P1P2,85
00040_3,ABCA3_P1P2,30
00041_1,ABCA4_P1P2,97
00041_2,ABCA4_P1P2,84
00041_3,ABCA4_P1P2,130
00042_1,ABCA5_P1P2,16
00042_2,ABCA5_P1P2,103
00042_3,ABCA5_P1P2,108
00043_1,ABCA6_P1P2,189
00043_2,ABCA6_P1P2,32
00043_3,ABCA6_P1P2,55
00044_1,ABCA7_P1,31
00044_2,ABCA7_P1,168
00044_3,ABCA7_P1,78
00045_1,ABCA7_P2,18
00045_2,ABCA7_P2,87
00045_3,ABCA7_P2,16
00046_1,ABCA8_P1P2,129
00046_2,ABCA8_P1P2,172
00046_3,ABCA8_P1P2,59
00047_1,ABCA9_P1P2,124
00047_2,ABCA9_P1P2,41
00047_3,ABCA9_P1P2,106
00048_1,ABCB1_ENST00000265724.3,51
00048_2,ABCB1_ENST00000265724.3,56
00048_3,ABCB1_ENST00000265724.3,94
00049_1,ABCB10_P1P2,47
