Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
ABCD4	5826	P1P2	3	-1.135	-3.2067	8.9578e-05	0.0088889	3	-1.0502	-2.5141	4.4789e-05	0.0061728	-1.221	-2.9229	4.4789e-05	0.010417	-1.5381	2.1998e-07	0.000177	1.0	3.0	1.0	1.0	22504.0	0.0	-1.7573	2.1998e-07	0.000198	1.0	3.0	1.0	1.0	22504.0	0.0	-0.0606297371097511	nonsurface
ACVR1	90	P1P2	3	-0.72492	-2.6422	0.0013437	0.072464	3	-0.81109	-2.5139	0.0017916	0.10025	-0.64089	-1.9863	0.0049268	0.21318	-1.2471	2.4418e-05	0.006465	84.0	3.0	0.99998	1.0	22397.0	0.0	-1.0158	6.5775e-05	0.014328	103.0	3.0	0.99948	1.0	22297.0	0.0	-0.0157354136134668	surface
ADPGK	83440	P1P2	3	-1.0438	-2.9621	8.9578e-05	0.0088889	3	-1.0832	-2.6329	0.0	0.0	-0.99504	-2.4152	0.00017916	0.028169	-1.9435	0.00030732	0.044332	156.0	3.0	0.9999	1.0	22358.0	0.0	-1.5306	0.00022944	0.039116	132.0	3.0	0.99993	1.0	22382.0	0.0	0.0698235276476726	
ALDH1A3	220	P1	3	-1.0863	-3.1137	8.9578e-05	0.0088889	3	-1.0391	-2.7874	4.4789e-05	0.0061728	-1.1425	-3.0569	4.4789e-05	0.010417	-1.4108	5.8295e-05	0.012737	103.0	3.0	0.99999	1.0	22408.0	0.0	-1.7837	0.00015861	0.028785	124.0	3.0	0.99995	1.0	22390.0	0.0	0.1766363216476724	
ARHGEF35	445328	ENST00000378115.2	3	-1.3596	-3.5163	0.0	0.0	3	-1.3324	-2.8081	0.0	0.0	-1.3922	-2.9273	0.0	0.0	-2.0455	2.5738e-05	0.006735	86.0	3.0	0.99999	1.0	22425.0	0.0	-1.9636	3.4097e-05	0.009592	80.0	3.0	0.99999	1.0	22430.0	0.0	0.0995893742548422	
ARRB1	408	P1P2	3	-0.89523	-2.8032	0.00026873	0.021505	3	-0.77254	-2.0585	0.0028217	0.13548	-1.0263	-2.7332	0.00013437	0.024	-0.96621	4.8616e-05	0.010832	101.0	3.0	0.99999	1.0	22410.0	0.0	-1.5117	6.5995e-07	0.000479	30.0	3.0	1.0	1.0	22475.0	0.0	-0.1176814649763436	
ATP11A	23250	P1P2	3	-0.66438	-2.5821	0.0025978	0.10721	3	-0.71004	-2.4056	0.0046132	0.17081	-0.614	-2.08	0.0064048	0.23993	-1.1137	7.6994e-06	0.003209	54.0	3.0	1.0	1.0	22451.0	0.0	-0.94309	3.9817e-05	0.010407	86.0	3.0	0.99999	1.0	22426.0	0.0	-0.1348717019970747	nonsurface
C17orf72	92340	P1P2	3	-0.70556	-2.5951	0.0017468	0.083871	3	-0.70693	-2.1831	0.0047924	0.17342	-0.70342	-2.1721	0.0028217	0.16845	-1.1905	9.8992e-06	0.003776	59.0	3.0	1.0	1.0	22446.0	0.0	-1.0539	5.1256e-05	0.012271	94.0	3.0	0.99999	1.0	22418.0	0.0	-0.0008924310283471	
CACNG7	59284	P1P2	3	-1.1572	-3.1842	4.4789e-05	0.006135	3	-1.1807	-2.5738	0.0	0.0	-1.1974	-2.6074	4.4789e-05	0.010417	-1.5916	0.00011725	0.021988	120.0	3.0	0.99997	1.0	22390.0	0.0	-1.6278	6.4455e-05	0.014328	101.0	3.0	0.99998	1.0	22411.0	0.0	0.4061320801139938	surface
CD58	965	P1P2	3	-0.7306	-2.6608	0.0012989	0.07056	3	-0.77156	-2.1885	0.0028217	0.13548	-0.68623	-1.9464	0.0035383	0.17753	-1.1853	1.0999e-06	0.000651	37.0	3.0	1.0	1.0	22468.0	0.0	-1.0569	5.4996e-06	0.00221	56.0	3.0	1.0	1.0	22450.0	0.0	-0.2038385343923809	surface
