Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
AGO3	192669	P1P2	3	0.96133	1.1349	0.0	0.0	3	0.99005	0.97184	0.00022394	0.026455	0.93611	0.91887	0.00098535	0.089069	1.5021	0.99998	1.0	22432.0	0.0	2.0458e-05	0.008221	55.0	3.0	1.4455	1.0	1.0	22471.0	0.0	1.3859e-05	0.009173	34.0	3.0	-0.1539103770214458	
ANKRD44	91526	ENST00000450567.1	3	0.39018	1.5134	0.0068975	0.19871	3	0.42168	1.3735	0.0069423	0.20861	0.36248	1.1807	0.022081	0.40114	0.66353	0.99999	1.0	22440.0	0.0	4.6856e-05	0.015064	69.0	3.0	0.47366	0.99999	1.0	22446.0	0.0	4.9056e-05	0.018711	59.0	3.0	0.0563010275940438	
ANO8	57719	P1P2	3	0.78978	1.2566	0.0	0.0	3	0.73302	1.0275	0.00058225	0.047445	0.84383	1.1829	0.0015228	0.12143	1.157	1.0	1.0	22458.0	0.0	9.0193e-06	0.004142	49.0	3.0	1.2485	1.0	1.0	22472.0	0.0	1.1219e-05	0.007651	33.0	3.0	0.2385708390503004	
AP3B2	8120	P1P2	3	0.42324	1.533	0.0043445	0.14764	3	0.4342	1.4573	0.0062256	0.19829	0.41612	1.3967	0.01384	0.33226	0.66372	0.99999	1.0	22436.0	0.0	5.3456e-05	0.015752	76.0	3.0	0.62263	0.99999	1.0	22466.0	0.0	1.7379e-05	0.010025	39.0	3.0	0.2421228182732757	
APOBEC2	10930	P1P2	3	0.90851	1.1883	0.0	0.0	3	0.90961	0.85852	0.00035831	0.037559	0.90936	0.85821	0.0011197	0.097276	1.3555	1.0	1.0	22474.0	0.0	1.9798e-06	0.00131	32.0	3.0	1.3442	1.0	1.0	22468.0	0.0	1.6059e-05	0.009767	37.0	3.0	-0.0930314091908054	
ASCC3	10973	P1P2	3	0.89172	1.1855	0.0	0.0	3	0.90587	0.99817	0.00035831	0.037559	0.87296	0.96185	0.0012989	0.10985	1.3614	1.0	1.0	22490.0	0.0	2.1998e-07	0.000236	15.0	3.0	1.1208	0.99999	1.0	22462.0	0.0	2.0458e-05	0.010689	43.0	3.0	-0.2470821616584619	
DCLRE1A	9937	P1P2	3	0.50789	1.48	0.001478	0.076212	3	0.48127	1.249	0.004031	0.15993	0.53863	1.3979	0.0058673	0.23268	0.68602	1.0	1.0	22456.0	0.0	1.4299e-05	0.006071	53.0	3.0	0.7751	1.0	1.0	22494.0	0.0	1.0999e-06	0.00225	11.0	3.0	0.1805848841261409	
DICER1	23405	P1P2	3	0.8544	1.2223	0.0	0.0	3	0.85716	1.0684	0.0004031	0.038298	0.85571	1.0665	0.0015228	0.12143	1.2367	1.0	1.0	22498.0	0.0	2.1998e-07	0.000236	7.0	3.0	1.2809	1.0	1.0	22499.0	0.0	2.1998e-07	0.000825	6.0	3.0	-0.2487781268777871	
HTR3C	170572	P1P2	3	0.56325	1.4251	0.00076141	0.048991	3	0.58036	1.1697	0.0015228	0.089947	0.54722	1.1029	0.0056434	0.22744	0.85224	0.99999	1.0	22435.0	0.0	5.3896e-05	0.015752	77.0	3.0	0.6882	0.99999	1.0	22445.0	0.0	5.0376e-05	0.018894	60.0	3.0	-0.0273395860218578	surface
IFI30	10437	P1P2	3	0.6482	1.3548	8.9578e-05	0.0088889	3	0.61415	0.98756	0.0012093	0.079882	0.68557	1.1024	0.0030456	0.17128	0.88864	1.0	1.0	22480.0	0.0	6.5995e-07	0.000594	25.0	3.0	0.9312	1.0	1.0	22483.0	0.0	4.1797e-06	0.004275	22.0	3.0	-0.1010860522752872	
