program,Gene,B_lfc,C_lfc,rra_maxfdr,tier,source_row
ER-Golgi / COPII vesicular transport,PREB,-3.0328,-3.0883,0.003327,T1-core,0
Spliceosome / RNA processing (likely general),SNRPF,-2.9419,-2.7176,0.029584,T1-core,1
ER-Golgi / COPII vesicular transport,GOSR2,-2.9273,-2.5649,0.000669,T1-core,2
ER-Golgi / COPII vesicular transport,BET1,-2.6354,-2.4826,0.001061,T1-core,3
TRAPP tethering complex,TRAPPC4,-2.667,-2.3355,0.000198,T1-core,4
Spliceosome / RNA processing (likely general),SNRPD2,-3.106,-2.6301,0.017813,T1-core,5
TRAPP tethering complex,TRAPPC8,-2.3243,-3.0698,0.000413,T1-core,6
TRAPP tethering complex,TRAPPC3,-2.4077,-2.2525,0.003327,T1-core,7
Transcription / chromatin (likely general),KIAA0947,-2.0595,-2.1772,0.000619,T1-core,8
Ubiquitin–proteasome / protein degradation,USP30,-2.2113,-2.4955,0.000198,T1-core,9
Cytokine / GPCR / surface receptor signaling,CNTROB,-2.2783,-2.0645,0.000198,T1-core,10
ER-Golgi / COPII vesicular transport,SEC23B,-2.087,-2.1941,0.000198,T1-core,11
Other / unclear,C9orf170,-1.919,-2.154,0.000198,T1-core,12
Antigen processing & presentation (MHC-I),TAP2,-1.8229,-1.9341,0.007063,T1-core,13
Actin & Rho signaling,ARHGEF35,-2.0455,-1.9636,0.009592,T1-core,14
Membrane-protein biogenesis (ER/GET/ERAD),SPCS2,-1.8781,-2.0793,0.000198,T1-core,15
ER-Golgi / COPII vesicular transport,STX18,-1.8361,-2.119,0.010199,T1-core,16
Antigen processing & presentation (MHC-I),TAPBP,-2.0352,-1.7657,0.000198,T1-core,17
ER-Golgi / COPII vesicular transport,USO1,-2.4863,-1.9604,0.009086,T1-core,18
Transcription / chromatin (likely general),ZKSCAN1,-1.9345,-2.1215,0.002475,T1-core,19
Metabolism / mitochondria (likely general),NDUFA1,-1.9267,-2.0314,0.000669,T1-core,20
TRAPP tethering complex,TRAPPC1,-2.0653,-1.9763,0.00143,T1-core,21
ER-Golgi / COPII vesicular transport,SEC22B,-1.8119,-1.898,0.000669,T1-core,22
Polarized exocytosis & fusion,RPH3AL,-1.9145,-1.9373,0.000198,T1-core,23
Transcription / chromatin (likely general),ICE1,-1.7539,-1.6792,0.000198,T1-core,24
Cell polarity,PARD6A,-1.7977,-1.8985,0.000198,T1-core,25
Ubiquitin–proteasome / protein degradation,PSMB9,-1.6642,-1.8789,0.000198,T1-core,26
