program,gene_cards,pdf,png
ER-Golgi / COPII vesicular transport,14,6_screen_analysis/hits/program_cards/program_01_ER-Golgi_COPII_vesicular_transport.pdf,6_screen_analysis/hits/program_cards/program_01_ER-Golgi_COPII_vesicular_transport.png
Spliceosome / RNA processing (likely general),16,6_screen_analysis/hits/program_cards/program_02_Spliceosome_RNA_processing_likely_general.pdf,6_screen_analysis/hits/program_cards/program_02_Spliceosome_RNA_processing_likely_general.png
TRAPP tethering complex,6,6_screen_analysis/hits/program_cards/program_03_TRAPP_tethering_complex.pdf,6_screen_analysis/hits/program_cards/program_03_TRAPP_tethering_complex.png
Transcription / chromatin (likely general),16,6_screen_analysis/hits/program_cards/program_04_Transcription_chromatin_likely_general.pdf,6_screen_analysis/hits/program_cards/program_04_Transcription_chromatin_likely_general.png
Ubiquitin–proteasome / protein degradation,14,6_screen_analysis/hits/program_cards/program_05_Ubiquitin_proteasome_protein_degradation.pdf,6_screen_analysis/hits/program_cards/program_05_Ubiquitin_proteasome_protein_degradation.png
Cytokine / GPCR / surface receptor signaling,8,6_screen_analysis/hits/program_cards/program_06_Cytokine_GPCR_surface_receptor_signaling.pdf,6_screen_analysis/hits/program_cards/program_06_Cytokine_GPCR_surface_receptor_signaling.png
Other / unclear,36,6_screen_analysis/hits/program_cards/program_07_Other_unclear.pdf,6_screen_analysis/hits/program_cards/program_07_Other_unclear.png
Antigen processing & presentation (MHC-I),5,6_screen_analysis/hits/program_cards/program_08_Antigen_processing_presentation_MHC-I.pdf,6_screen_analysis/hits/program_cards/program_08_Antigen_processing_presentation_MHC-I.png
Actin & Rho signaling,5,6_screen_analysis/hits/program_cards/program_09_Actin_Rho_signaling.pdf,6_screen_analysis/hits/program_cards/program_09_Actin_Rho_signaling.png
Membrane-protein biogenesis (ER/GET/ERAD),4,6_screen_analysis/hits/program_cards/program_10_Membrane-protein_biogenesis_ER_GET_ERAD.pdf,6_screen_analysis/hits/program_cards/program_10_Membrane-protein_biogenesis_ER_GET_ERAD.png
Metabolism / mitochondria (likely general),4,6_screen_analysis/hits/program_cards/program_11_Metabolism_mitochondria_likely_general.pdf,6_screen_analysis/hits/program_cards/program_11_Metabolism_mitochondria_likely_general.png
Polarized exocytosis & fusion,10,6_screen_analysis/hits/program_cards/program_12_Polarized_exocytosis_fusion.pdf,6_screen_analysis/hits/program_cards/program_12_Polarized_exocytosis_fusion.png
Cell polarity,1,6_screen_analysis/hits/program_cards/program_13_Cell_polarity.pdf,6_screen_analysis/hits/program_cards/program_13_Cell_polarity.png
COP9 signalosome / neddylation,4,6_screen_analysis/hits/program_cards/program_14_COP9_signalosome_neddylation.pdf,6_screen_analysis/hits/program_cards/program_14_COP9_signalosome_neddylation.png
Transport — ion channels & solute carriers,9,6_screen_analysis/hits/program_cards/program_15_Transport_ion_channels_solute_carriers.pdf,6_screen_analysis/hits/program_cards/program_15_Transport_ion_channels_solute_carriers.png
Membrane lipid remodeling,5,6_screen_analysis/hits/program_cards/program_16_Membrane_lipid_remodeling.pdf,6_screen_analysis/hits/program_cards/program_16_Membrane_lipid_remodeling.png
GPI-anchor & glycan surface display,5,6_screen_analysis/hits/program_cards/program_17_GPI-anchor_glycan_surface_display.pdf,6_screen_analysis/hits/program_cards/program_17_GPI-anchor_glycan_surface_display.png
Endosomal pH & recycling,2,6_screen_analysis/hits/program_cards/program_18_Endosomal_pH_recycling.pdf,6_screen_analysis/hits/program_cards/program_18_Endosomal_pH_recycling.png
Surface sensing & adhesion,2,6_screen_analysis/hits/program_cards/program_19_Surface_sensing_adhesion.pdf,6_screen_analysis/hits/program_cards/program_19_Surface_sensing_adhesion.png
Autophagy–secretion & DAMP,2,6_screen_analysis/hits/program_cards/program_20_Autophagy_secretion_DAMP.pdf,6_screen_analysis/hits/program_cards/program_20_Autophagy_secretion_DAMP.png
