Gene,preferred_symbol,selected_query,resolved_symbol,entrezgene,gene_name,program,program_evidence,annotation_blob
PREB,PREB,PREB,PREB,10113,prolactin regulatory element binding,ER-Golgi / COPII vesicular transport,copii,prolactin regulatory element binding | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | lipoprotein transport | copii vesicle coat assembly | copii vesicle coat assembly | copii vesicle coat assembly | guanyl-nucleotide exchange factor activity | guanyl-nucleotide exchange factor activity | guanyl-nucleotide exchange factor activity | protein binding | gtpase binding
SNRPF,SNRPF,SNRPF,SNRPF,6636,small nuclear ribonucleoprotein polypeptide F,Spliceosome / RNA processing (likely general),spliceosom,"small nuclear ribonucleoprotein polypeptide f | spliceosomal tri-snrnp complex assembly | spliceosomal complex assembly | spliceosomal snrnp assembly | spliceosomal snrnp assembly | spliceosome conformational change to release u4 (or u4atac) and u1 (or u11) | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | rna splicing | protein-rna complex assembly | 7-methylguanosine cap hypermethylation | negative regulation of mrna splicing, via spliceosome | nuclear histone mrna catabolic process | u2-type prespliceosome assembly | rna binding | rna binding | rna binding | protein binding"
GOSR2,GOSR2,GOSR2,GOSR2,9570,golgi SNAP receptor complex member 2,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,golgi snap receptor complex member 2 | endoplasmic reticulum to golgi vesicle-mediated transport | intra-golgi vesicle-mediated transport | intra-golgi vesicle-mediated transport | vesicle fusion | vesicle-mediated transport | membrane fusion | snare binding | snap receptor activity | snap receptor activity | protein binding
BET1,BET1,BET1,BET1,10282,Bet1 golgi vesicular membrane trafficking protein,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,bet1 golgi vesicular membrane trafficking protein | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | vesicle-mediated transport | vesicle fusion with golgi apparatus | snap receptor activity | protein binding
TRAPPC4,TRAPPC4,TRAPPC4,TRAPPC4,51399,trafficking protein particle complex subunit 4,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 4 | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | vesicle coat assembly | autophagy | vesicle-mediated transport | dendrite development | dendrite development | copii vesicle coat assembly | protein binding
SNRPD2,SNRPD2,SNRPD2,SNRPD2,6633,small nuclear ribonucleoprotein D2 polypeptide,Spliceosome / RNA processing (likely general),spliceosom,"small nuclear ribonucleoprotein d2 polypeptide | spliceosomal tri-snrnp complex assembly | spliceosomal complex assembly | spliceosomal complex assembly | spliceosomal snrnp assembly | spliceosomal snrnp assembly | spliceosomal snrnp assembly | spliceosome conformational change to release u4 (or u4atac) and u1 (or u11) | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | rna splicing | rna splicing | 7-methylguanosine cap hypermethylation | negative regulation of mrna splicing, via spliceosome | u2-type prespliceosome assembly | rna binding | rna binding | protein binding"
TRAPPC8,TRAPPC8,TRAPPC8,TRAPPC8,22878,trafficking protein particle complex subunit 8,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 8 | endoplasmic reticulum to golgi vesicle-mediated transport | golgi organization | collagen biosynthetic process | copii vesicle coat assembly | protein binding
TRAPPC3,TRAPPC3,TRAPPC3,TRAPPC3,27095,trafficking protein particle complex subunit 3,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 3 | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | intra-golgi vesicle-mediated transport | vesicle coat assembly | golgi vesicle transport | copii vesicle coat assembly | guanyl-nucleotide exchange factor activity | protein binding
KIAA0947,ICE1,ICE1,ICE1,23379,interactor of little elongation complex ELL subunit 1,Transcription / chromatin (likely general),transcription by rna pol,interactor of little elongation complex ell subunit 1 | positive regulation of protein-containing complex assembly | snrna transcription by rna polymerase ii | snrna transcription by rna polymerase ii | snrna transcription by rna polymerase iii | snrna transcription by rna polymerase iii | positive regulation of transcription by rna polymerase iii | positive regulation of intracellular protein transport | positive regulation of snrna transcription by rna polymerase ii | protein binding | protein-macromolecule adaptor activity | protein-macromolecule adaptor activity
USP30,USP30,USP30,USP30,84749,ubiquitin specific peptidase 30,Ubiquitin–proteasome / protein degradation,deubiquitinat,ubiquitin specific peptidase 30 | pexophagy | mitochondrial fusion | mitochondrial fusion | protein deubiquitination | protein deubiquitination | protein deubiquitination | regulation of protein stability | protein k11-linked deubiquitination | protein k6-linked deubiquitination | negative regulation of mitophagy | negative regulation of mitophagy | negative regulation of mitophagy | cysteine-type endopeptidase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | protein binding | deubiquitinase activity
CNTROB,CNTROB,CNTROB,CNTROB,116840,"centrobin, centriole duplication and spindle assembly protein",Cytokine / GPCR / surface receptor signaling,cytokine,"centrobin, centriole duplication and spindle assembly protein | centriole replication | centriole replication | centriole replication | centrosome separation | centrosome separation | regulation of cilium assembly | mitotic cytokinetic process | mitotic cytokinetic process | protein binding | protein domain specific binding"
SEC23B,SEC23B,SEC23B,SEC23B,10483,"SEC23 homolog B, COPII component",ER-Golgi / COPII vesicular transport,copii,"sec23 homolog b, copii component | intracellular protein transport | endoplasmic reticulum to golgi vesicle-mediated transport | copii-coated vesicle cargo loading | copii-coated vesicle budding | gtpase activator activity | protein binding | zinc ion binding"
PLRG1,PLRG1,PLRG1,PLRG1,5356,pleiotropic regulator 1,Spliceosome / RNA processing (likely general),spliceosom,"pleiotropic regulator 1 | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | protein binding"
C9orf170,LINC02872,LINC02872,LINC02872,401535,long independently transcribed non-coding RNA 2872,Other / unclear,no keyword match,long independently transcribed non-coding rna 2872
TAP2,TAP2,TAP2,TAP2,6891,"transporter 2, ATP binding cassette subfamily B member",Antigen processing & presentation (MHC-I),antigen process,"transporter 2, atp binding cassette subfamily b member | adaptive immune response | antigen processing and presentation of endogenous peptide antigen via mhc class ib via er pathway, tap-dependent | defense response | peptide transport | peptide transport | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | cytosol to endoplasmic reticulum transport | peptide antigen transport | peptide antigen transport | transmembrane transport | transmembrane transport | protein binding | atp binding | atp binding | atp binding | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide transporter activity | abc-type peptide transporter activity | atp hydrolysis activity | mhc class ib protein binding | mhc protein binding | peptide antigen binding | tap1 binding | tap1 binding | tapasin binding | abc-type transporter activity | peptide transmembrane transporter activity | peptide transmembrane transporter activity"
ARHGEF35,ARHGEF35,ARHGEF35,ARHGEF35,445328,Rho guanine nucleotide exchange factor 35,Actin & Rho signaling,rho guanine nucleotide,rho guanine nucleotide exchange factor 35
SPCS2,SPCS2,SPCS2,SPCS2,9789,signal peptidase complex subunit 2,Membrane-protein biogenesis (ER/GET/ERAD),signal peptidase,signal peptidase complex subunit 2 | protein processing | protein targeting to er | protein maturation | protein binding
STX18,STX18,STX18,STX18,53407,syntaxin 18,ER-Golgi / COPII vesicular transport,golgi to endoplasmic reticulum,"syntaxin 18 | intracellular protein transport | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | membrane fusion | endoplasmic reticulum membrane organization | positive regulation of organelle assembly | positive regulation of er to golgi vesicle-mediated transport | regulation of golgi organization | snap receptor activity | protein binding | protein domain specific binding"
