Gene,MLE_beta,MLE_z,absz,MLE_fdr,rra_maxfdr,B_lfc,C_lfc,tier,origin,DepMap,surface,program,program_evidence,likely_general
PREB,-2.0983,-4.4009,4.4009,0.0,0.003327,-3.0328,-3.0883,T1-core,new,-1.274813551853624,False,ER-Golgi / COPII vesicular transport,copii,False
SNRPF,-1.936,-4.1647,4.1647,0.0,0.029584,-2.9419,-2.7176,T1-core,new,-4.0152313364791095,False,Spliceosome / RNA processing (likely general),spliceosom,True
GOSR2,-1.9142,-4.1427,4.1427,0.0,0.000669,-2.9273,-2.5649,T1-core,new,-0.92752568870319,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
BET1,-1.7283,-3.9885,3.9885,0.0,0.001061,-2.6354,-2.4826,T1-core,new,-0.252484052541733,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
TRAPPC4,-1.7401,-3.9874,3.9874,0.0,0.000198,-2.667,-2.3355,T1-core,new,-0.6787184363073011,False,TRAPP tethering complex,trafficking protein particle,False
SNRPD2,-1.8009,-3.9692,3.9692,0.0,0.017813,-3.106,-2.6301,T1-core,new,-2.6352133910696165,False,Spliceosome / RNA processing (likely general),spliceosom,True
TRAPPC8,-1.8057,-3.8831,3.8831,0.0,0.000413,-2.3243,-3.0698,T1-core,new,-1.2870690582736963,False,TRAPP tethering complex,trafficking protein particle,False
TRAPPC3,-1.6229,-3.8459,3.8459,0.0,0.003327,-2.4077,-2.2525,T1-core,new,-1.860646816417929,False,TRAPP tethering complex,trafficking protein particle,False
KIAA0947,-1.5291,-3.7613,3.7613,0.0,0.000619,-2.0595,-2.1772,T1-core,new,-0.6017814694095931,False,Transcription / chromatin (likely general),transcription by rna pol,True
USP30,-1.5705,-3.7574,3.7574,0.0,0.000198,-2.2113,-2.4955,T1-core,new,-0.1995648398066726,False,Ubiquitin–proteasome / protein degradation,deubiquitinat,False
CNTROB,-1.5462,-3.7495,3.7495,0.0,0.000198,-2.2783,-2.0645,T1-core,new,0.1077502878003994,False,Cytokine / GPCR / surface receptor signaling,cytokine,False
SEC23B,-1.4508,-3.6567,3.6567,0.0,0.000198,-2.087,-2.1941,T1-core,new,-0.0641840278074739,False,ER-Golgi / COPII vesicular transport,copii,False
C9orf170,-1.3788,-3.5577,3.5577,0.0,0.000198,-1.919,-2.154,T1-core,new,,False,Other / unclear,no keyword match,True
TAP2,-1.379,-3.5245,3.5245,0.0,0.007063,-1.8229,-1.9341,T1-core,new,0.3010566368559304,False,Antigen processing & presentation (MHC-I),antigen process,False
ARHGEF35,-1.3596,-3.5163,3.5163,0.0,0.009592,-2.0455,-1.9636,T1-core,new,0.0995893742548422,False,Actin & Rho signaling,rho guanine nucleotide,False
SPCS2,-1.4106,-3.4953,3.4953,0.0,0.000198,-1.8781,-2.0793,T1-core,new,-0.8897615554448224,False,Membrane-protein biogenesis (ER/GET/ERAD),signal peptidase,False
STX18,-1.4322,-3.4831,3.4831,0.0,0.010199,-1.8361,-2.119,T1-core,new,-0.9231284279327556,False,ER-Golgi / COPII vesicular transport,golgi to endoplasmic reticulum,False
TAPBP,-1.4059,-3.469,3.469,0.0,0.000198,-2.0352,-1.7657,T1-core,new,-0.0876919252457947,False,Antigen processing & presentation (MHC-I),antigen process,False
USO1,-1.4649,-3.4517,3.4517,0.0,0.009086,-2.4863,-1.9604,T1-core,new,,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
ZKSCAN1,-1.376,-3.4448,3.4448,0.0,0.002475,-1.9345,-2.1215,T1-core,new,0.0287309697923731,False,Transcription / chromatin (likely general),transcription by rna pol,True
NDUFA1,-1.3851,-3.4394,3.4394,0.0,0.000669,-1.9267,-2.0314,T1-core,new,-0.3335392655273122,False,Metabolism / mitochondria (likely general),mitochondrial,True
TRAPPC1,-1.3897,-3.4221,3.4221,0.0,0.00143,-2.0653,-1.9763,T1-core,new,-1.0177298495039406,False,TRAPP tethering complex,trafficking protein particle,False
SEC22B,-1.2711,-3.3847,3.3847,0.0,0.000669,-1.8119,-1.898,T1-core,new,,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
RPH3AL,-1.2687,-3.3676,3.3676,0.0,0.000198,-1.9145,-1.9373,T1-core,new,-0.0965903904139983,False,Polarized exocytosis & fusion,\bexocytos,False
